x,y,d,t
37.501771000,127.137153000,2017/07/03,11:09:08
37.501835000,127.137084000,2017/07/03,11:09:14
37.501901000,127.137005000,2017/07/03,11:09:17
37.501972000,127.136945000,2017/07/03,11:09:20
37.502065000,127.136903000,2017/07/03,11:09:23
37.502184000,127.136871000,2017/07/03,11:09:26
37.502298000,127.136854000,2017/07/03,11:09:29
37.502389000,127.136848000,2017/07/03,11:09:32
37.502490000,127.136829000,2017/07/03,11:09:35
37.502579000,127.136819000,2017/07/03,11:09:38
37.502664000,127.136818000,2017/07/03,11:09:41
37.502763000,127.136809000,2017/07/03,11:09:44
37.502869000,127.136801000,2017/07/03,11:09:47
37.502953000,127.136797000,2017/07/03,11:09:50
37.503041000,127.136795000,2017/07/03,11:09:53
37.503142000,127.136786000,2017/07/03,11:09:56
37.503230000,127.136769000,2017/07/03,11:09:59
37.503332000,127.136759000,2017/07/03,11:10:02
37.503442000,127.136772000,2017/07/03,11:10:06
37.503542000,127.136775000,2017/07/03,11:10:10
37.503641000,127.136784000,2017/07/03,11:10:14
37.503726000,127.136780000,2017/07/03,11:10:18
37.503816000,127.136761000,2017/07/03,11:10:22
37.503902000,127.136741000,2017/07/03,11:10:26
37.504066000,127.136715000,2017/07/03,11:10:34
37.504185000,127.136726000,2017/07/03,11:10:39
37.504281000,127.136720000,2017/07/03,11:10:40
37.504371000,127.136701000,2017/07/03,11:10:43
37.504461000,127.136685000,2017/07/03,11:10:47
37.504549000,127.136671000,2017/07/03,11:10:51
37.504636000,127.136671000,2017/07/03,11:10:55
37.504729000,127.136660000,2017/07/03,11:10:59
37.504822000,127.136641000,2017/07/03,11:11:03
37.504910000,127.136624000,2017/07/03,11:11:07
37.504999000,127.136616000,2017/07/03,11:11:11
37.505098000,127.136603000,2017/07/03,11:11:16
37.505180000,127.136598000,2017/07/03,11:11:20
37.505284000,127.136594000,2017/07/03,11:11:24
37.505370000,127.136597000,2017/07/03,11:11:27
37.505473000,127.136601000,2017/07/03,11:11:30
37.505581000,127.136604000,2017/07/03,11:11:33
37.505684000,127.136599000,2017/07/03,11:11:36
