x,y,d,t
37.501626000,127.137021000,2016/07/31,05:14:45
37.501626000,127.137018000,2016/07/31,05:14:44
37.501684000,127.137124000,2016/07/31,05:14:44
37.501718000,127.136964000,2016/07/31,05:14:52
37.501816000,127.136894000,2016/07/31,05:14:56
37.501897000,127.136841000,2016/07/31,05:14:59
37.501988000,127.136794000,2016/07/31,05:15:02
37.502085000,127.136759000,2016/07/31,05:15:05
37.502195000,127.136746000,2016/07/31,05:15:09
37.502293000,127.136756000,2016/07/31,05:15:13
37.502397000,127.136764000,2016/07/31,05:15:17
37.502494000,127.136788000,2016/07/31,05:15:21
37.502603000,127.136779000,2016/07/31,05:15:25
37.502603000,127.136779000,2016/07/31,05:15:25
37.502631000,127.136776000,2016/07/31,05:15:26
37.502802000,127.136732000,2016/07/31,05:15:34
37.502900000,127.136709000,2016/07/31,05:15:38
37.503015000,127.136695000,2016/07/31,05:15:42
37.503120000,127.136689000,2016/07/31,05:15:46
37.503217000,127.136682000,2016/07/31,05:15:49
37.503319000,127.136670000,2016/07/31,05:15:53
37.503413000,127.136664000,2016/07/31,05:15:56
37.503507000,127.136652000,2016/07/31,05:16:00
37.503620000,127.136652000,2016/07/31,05:16:04
37.503719000,127.136655000,2016/07/31,05:16:08
37.503816000,127.136663000,2016/07/31,05:16:13
37.503907000,127.136684000,2016/07/31,05:16:18
37.504002000,127.136692000,2016/07/31,05:16:23
37.504103000,127.136687000,2016/07/31,05:16:30
37.504223000,127.136687000,2016/07/31,05:16:33
37.504325000,127.136689000,2016/07/31,05:16:37
37.504431000,127.136677000,2016/07/31,05:16:42
37.504538000,127.136672000,2016/07/31,05:16:48
37.504635000,127.136661000,2016/07/31,05:16:53
37.504735000,127.136635000,2016/07/31,05:16:58
37.504828000,127.136610000,2016/07/31,05:17:03
37.504921000,127.136581000,2016/07/31,05:17:08
37.505028000,127.136567000,2016/07/31,05:17:13
37.505124000,127.136561000,2016/07/31,05:17:17
37.505220000,127.136554000,2016/07/31,05:17:22
37.505317000,127.136557000,2016/07/31,05:17:27
37.505413000,127.136563000,2016/07/31,05:17:31
37.505508000,127.136565000,2016/07/31,05:17:35
37.505614000,127.136562000,2016/07/31,05:17:40
37.505721000,127.136557000,2016/07/31,05:17:46
37.505823000,127.136558000,2016/07/31,05:17:50
37.505925000,127.136568000,2016/07/31,05:17:54
37.506034000,127.136571000,2016/07/31,05:17:58
37.506128000,127.136574000,2016/07/31,05:18:02
37.506224000,127.136566000,2016/07/31,05:18:06
37.506331000,127.136555000,2016/07/31,05:18:11
37.506423000,127.136548000,2016/07/31,05:18:15
37.506511000,127.136507000,2016/07/31,05:18:19
37.506605000,127.136474000,2016/07/31,05:18:23
37.506714000,127.136457000,2016/07/31,05:18:28
37.506824000,127.136447000,2016/07/31,05:18:33
37.506932000,127.136435000,2016/07/31,05:18:38
37.507030000,127.136411000,2016/07/31,05:18:42
37.507122000,127.136393000,2016/07/31,05:18:46
37.507226000,127.136369000,2016/07/31,05:18:51
37.507334000,127.136357000,2016/07/31,05:18:56
37.507432000,127.136359000,2016/07/31,05:19:00
37.507542000,127.136361000,2016/07/31,05:19:04
37.507633000,127.136360000,2016/07/31,05:19:08
37.507721000,127.136334000,2016/07/31,05:19:12
37.507830000,127.136329000,2016/07/31,05:19:17
37.507941000,127.136331000,2016/07/31,05:19:22
37.508027000,127.136298000,2016/07/31,05:19:27
37.508121000,127.136259000,2016/07/31,05:19:34
37.508202000,127.136198000,2016/07/31,05:19:42
37.508309000,127.136041000,2016/07/31,05:20:00
37.508358000,127.135945000,2016/07/31,05:20:03
37.508958000,127.136145000,2016/07/31,05:20:06
37.509059000,127.136150000,2016/07/31,05:20:13
37.509161000,127.136140000,2016/07/31,05:20:18
37.509266000,127.136129000,2016/07/31,05:20:23
37.509371000,127.136127000,2016/07/31,05:20:28
37.509482000,127.136116000,2016/07/31,05:20:33
37.509578000,127.136112000,2016/07/31,05:20:37
37.509671000,127.136108000,2016/07/31,05:20:41
37.509765000,127.136103000,2016/07/31,05:20:45
37.509858000,127.136098000,2016/07/31,05:20:49
37.509969000,127.136094000,2016/07/31,05:20:54
37.510077000,127.136093000,2016/07/31,05:20:59
37.510190000,127.136081000,2016/07/31,05:21:04
37.510284000,127.136062000,2016/07/31,05:21:08
37.510381000,127.136041000,2016/07/31,05:21:12
37.510472000,127.136027000,2016/07/31,05:21:16
37.510563000,127.136015000,2016/07/31,05:21:20
37.510654000,127.135995000,2016/07/31,05:21:24
37.510746000,127.135969000,2016/07/31,05:21:28
37.510834000,127.135942000,2016/07/31,05:21:32
37.510923000,127.135917000,2016/07/31,05:21:36
37.511029000,127.135874000,2016/07/31,05:21:41
37.511116000,127.135840000,2016/07/31,05:21:45
37.511220000,127.135804000,2016/07/31,05:21:50
37.511304000,127.135762000,2016/07/31,05:21:54
37.511392000,127.135718000,2016/07/31,05:21:58
37.511484000,127.135689000,2016/07/31,05:22:02
37.511588000,127.135644000,2016/07/31,05:22:07
37.511688000,127.135590000,2016/07/31,05:22:12
37.511787000,127.135540000,2016/07/31,05:22:17
37.511884000,127.135499000,2016/07/31,05:22:22
37.511972000,127.135444000,2016/07/31,05:22:27
37.512057000,127.135401000,2016/07/31,05:22:31
37.512154000,127.135358000,2016/07/31,05:22:35
37.512238000,127.135302000,2016/07/31,05:22:39
37.512333000,127.135237000,2016/07/31,05:22:45
37.512432000,127.135178000,2016/07/31,05:22:50
37.512526000,127.135134000,2016/07/31,05:22:54
37.512623000,127.135132000,2016/07/31,05:22:58
37.512737000,127.135120000,2016/07/31,05:23:02
37.512835000,127.135085000,2016/07/31,05:23:06
37.512929000,127.135029000,2016/07/31,05:23:11
37.513012000,127.134952000,2016/07/31,05:23:17
37.513122000,127.134917000,2016/07/31,05:23:21
