x,y,d,t
37.567355,127.06034,2024/02/03,06:08:12
37.567355,127.06034,2024/02/03,06:08:13
37.567354,127.060343,2024/02/03,06:08:14
37.567353,127.060348,2024/02/03,06:08:15
37.567351,127.060355,2024/02/03,06:08:16
37.567349,127.060362,2024/02/03,06:08:17
37.567347,127.06037,2024/02/03,06:08:18
37.567346,127.060379,2024/02/03,06:08:19
37.567345,127.060387,2024/02/03,06:08:20
37.567346,127.060395,2024/02/03,06:08:21
37.567347,127.060403,2024/02/03,06:08:22
37.567347,127.06041,2024/02/03,06:08:23
37.567349,127.060416,2024/02/03,06:08:24
37.567351,127.060422,2024/02/03,06:08:25
37.567354,127.060428,2024/02/03,06:08:26
37.567357,127.060434,2024/02/03,06:08:27
37.567359,127.060441,2024/02/03,06:08:28
37.567362,127.060448,2024/02/03,06:08:29
37.567365,127.060456,2024/02/03,06:08:30
37.567368,127.060464,2024/02/03,06:08:31
37.567372,127.060472,2024/02/03,06:08:32
37.567376,127.060481,2024/02/03,06:08:33
37.56738,127.060489,2024/02/03,06:08:34
37.567385,127.060494,2024/02/03,06:08:35
37.56739,127.060501,2024/02/03,06:08:36
37.567395,127.060508,2024/02/03,06:08:37
37.5674,127.060515,2024/02/03,06:08:38
37.567405,127.060524,2024/02/03,06:08:39
37.56741,127.060533,2024/02/03,06:08:40
37.567416,127.060542,2024/02/03,06:08:41
37.56742,127.06055,2024/02/03,06:08:42
37.567425,127.060556,2024/02/03,06:08:43
37.567431,127.060562,2024/02/03,06:08:44
37.567438,127.060567,2024/02/03,06:08:45
37.567444,127.060571,2024/02/03,06:08:46
37.567448,127.060574,2024/02/03,06:08:47
37.567452,127.060577,2024/02/03,06:08:48
37.567456,127.06058,2024/02/03,06:08:49
37.567461,127.060582,2024/02/03,06:08:50
37.567467,127.060587,2024/02/03,06:08:51
37.567473,127.060593,2024/02/03,06:08:52
37.56748,127.060599,2024/02/03,06:08:53
37.567486,127.060604,2024/02/03,06:08:54
37.567493,127.060611,2024/02/03,06:08:55
37.567502,127.060614,2024/02/03,06:08:56
37.567509,127.060619,2024/02/03,06:08:57
37.567517,127.060623,2024/02/03,06:08:58
37.567527,127.060626,2024/02/03,06:08:59
37.567534,127.060628,2024/02/03,06:09:00
37.567542,127.060627,2024/02/03,06:09:01
37.567551,127.060624,2024/02/03,06:09:02
37.567557,127.06062,2024/02/03,06:09:03
37.567564,127.060617,2024/02/03,06:09:04
37.567568,127.060616,2024/02/03,06:09:05
37.567569,127.060616,2024/02/03,06:09:06
37.567569,127.060616,2024/02/03,06:09:07
37.567569,127.060616,2024/02/03,06:09:08
37.567569,127.060617,2024/02/03,06:09:09
37.567569,127.060618,2024/02/03,06:09:10
37.567567,127.06062,2024/02/03,06:09:11
37.567565,127.060622,2024/02/03,06:09:12
37.567563,127.060627,2024/02/03,06:09:13
37.567562,127.060629,2024/02/03,06:09:14
37.567561,127.060632,2024/02/03,06:09:15
37.567563,127.060635,2024/02/03,06:09:16
37.567564,127.060638,2024/02/03,06:09:17
37.567567,127.060639,2024/02/03,06:09:18
37.567571,127.060639,2024/02/03,06:09:19
37.567576,127.060638,2024/02/03,06:09:20
37.567582,127.060637,2024/02/03,06:09:21
37.567589,127.060637,2024/02/03,06:09:22
37.567596,127.060638,2024/02/03,06:09:23
37.567603,127.060641,2024/02/03,06:09:24
37.567607,127.060647,2024/02/03,06:09:25
37.567613,127.060651,2024/02/03,06:09:26
37.56762,127.060651,2024/02/03,06:09:27
37.567628,127.060649,2024/02/03,06:09:28
37.567632,127.060648,2024/02/03,06:09:29
37.567635,127.060651,2024/02/03,06:09:30
37.567637,127.060652,2024/02/03,06:09:31
37.567638,127.060652,2024/02/03,06:09:32
37.567639,127.060647,2024/02/03,06:09:33
37.567642,127.060639,2024/02/03,06:09:34
37.567646,127.060626,2024/02/03,06:09:35
37.567651,127.060613,2024/02/03,06:09:36
37.567661,127.060601,2024/02/03,06:09:37
37.567669,127.060593,2024/02/03,06:09:38
37.567678,127.060586,2024/02/03,06:09:39
37.567685,127.06058,2024/02/03,06:09:40
37.567691,127.060578,2024/02/03,06:09:41
37.567697,127.060571,2024/02/03,06:09:42
37.567703,127.060563,2024/02/03,06:09:43
37.567709,127.060556,2024/02/03,06:09:44
37.567715,127.060552,2024/02/03,06:09:45
37.567718,127.060548,2024/02/03,06:09:46
37.567721,127.060545,2024/02/03,06:09:47
37.567724,127.060543,2024/02/03,06:09:48
37.567728,127.060544,2024/02/03,06:09:49
37.567732,127.060541,2024/02/03,06:09:50
37.567736,127.060539,2024/02/03,06:09:51
37.56774,127.060541,2024/02/03,06:09:52
37.567745,127.060544,2024/02/03,06:09:53
37.567751,127.060545,2024/02/03,06:09:54
37.567757,127.060548,2024/02/03,06:09:55
37.567763,127.060551,2024/02/03,06:09:56
37.567765,127.060552,2024/02/03,06:09:57
37.567767,127.060553,2024/02/03,06:09:58
37.567768,127.060553,2024/02/03,06:09:59
37.567769,127.060554,2024/02/03,06:10:00
37.56777,127.060554,2024/02/03,06:10:01
37.567771,127.060553,2024/02/03,06:10:02
37.567772,127.060551,2024/02/03,06:10:03
37.567773,127.060548,2024/02/03,06:10:04
37.567774,127.060545,2024/02/03,06:10:05
37.567774,127.060542,2024/02/03,06:10:06
37.567776,127.06054,2024/02/03,06:10:07
37.56778,127.060535,2024/02/03,06:10:08
37.567784,127.060529,2024/02/03,06:10:09
37.567788,127.060522,2024/02/03,06:10:10
37.567793,127.060517,2024/02/03,06:10:11
37.567798,127.06051,2024/02/03,06:10:12
37.567803,127.060503,2024/02/03,06:10:13
37.567807,127.060496,2024/02/03,06:10:14
37.567813,127.060489,2024/02/03,06:10:15
37.567818,127.06048,2024/02/03,06:10:16
37.567824,127.060472,2024/02/03,06:10:17
37.567833,127.060464,2024/02/03,06:10:18
37.567843,127.060459,2024/02/03,06:10:19
37.567849,127.060454,2024/02/03,06:10:20
37.567855,127.060449,2024/02/03,06:10:21
37.567861,127.060444,2024/02/03,06:10:22
37.567869,127.060439,2024/02/03,06:10:23
37.567878,127.060434,2024/02/03,06:10:24
37.567887,127.060427,2024/02/03,06:10:25
37.567895,127.060419,2024/02/03,06:10:26
37.567904,127.060411,2024/02/03,06:10:27
37.567913,127.060403,2024/02/03,06:10:28
37.567921,127.060393,2024/02/03,06:10:29
37.567928,127.060382,2024/02/03,06:10:30
37.567935,127.060372,2024/02/03,06:10:31
37.567941,127.060361,2024/02/03,06:10:32
37.567945,127.060346,2024/02/03,06:10:33
37.567944,127.060326,2024/02/03,06:10:34
37.567945,127.060308,2024/02/03,06:10:35
37.567948,127.060293,2024/02/03,06:10:36
37.567953,127.06028,2024/02/03,06:10:37
37.567959,127.060268,2024/02/03,06:10:38
37.567966,127.06026,2024/02/03,06:10:39
37.56797,127.060249,2024/02/03,06:10:40
37.567976,127.060241,2024/02/03,06:10:41
37.567982,127.060232,2024/02/03,06:10:42
37.567985,127.060223,2024/02/03,06:10:43
37.567985,127.060215,2024/02/03,06:10:44
37.567984,127.060209,2024/02/03,06:10:45
37.567979,127.060205,2024/02/03,06:10:46
37.567973,127.060201,2024/02/03,06:10:47
37.567965,127.060197,2024/02/03,06:10:48
37.567958,127.060194,2024/02/03,06:10:49
37.567952,127.060192,2024/02/03,06:10:50
37.567947,127.060191,2024/02/03,06:10:51
37.567944,127.06019,2024/02/03,06:10:52
37.567941,127.060188,2024/02/03,06:10:53
37.567937,127.060182,2024/02/03,06:10:54
37.567934,127.060179,2024/02/03,06:10:55
37.567933,127.060176,2024/02/03,06:10:56
37.567931,127.060173,2024/02/03,06:10:57
37.567929,127.060171,2024/02/03,06:10:58
37.567926,127.060168,2024/02/03,06:10:59
37.567921,127.060164,2024/02/03,06:11:00
37.567917,127.060158,2024/02/03,06:11:01
37.567911,127.060151,2024/02/03,06:11:02
37.567906,127.060142,2024/02/03,06:11:03
37.567902,127.060132,2024/02/03,06:11:04
37.567899,127.060121,2024/02/03,06:11:05
37.567888,127.060107,2024/02/03,06:11:06
37.567879,127.060093,2024/02/03,06:11:07
37.567871,127.060078,2024/02/03,06:11:08
37.567863,127.060064,2024/02/03,06:11:09
37.567856,127.06005,2024/02/03,06:11:10
37.567851,127.060036,2024/02/03,06:11:11
37.567846,127.060024,2024/02/03,06:11:12
37.567842,127.060012,2024/02/03,06:11:13
37.56784,127.06,2024/02/03,06:11:14
37.567839,127.059989,2024/02/03,06:11:15
37.567838,127.059978,2024/02/03,06:11:16
37.567838,127.059969,2024/02/03,06:11:17
37.567839,127.059961,2024/02/03,06:11:18
37.56784,127.059955,2024/02/03,06:11:19
37.567844,127.059947,2024/02/03,06:11:20
37.567849,127.059938,2024/02/03,06:11:21
37.567853,127.059929,2024/02/03,06:11:22
37.567861,127.059918,2024/02/03,06:11:23
37.567868,127.059908,2024/02/03,06:11:24
37.567873,127.059897,2024/02/03,06:11:25
37.567875,127.059888,2024/02/03,06:11:26
37.567872,127.059879,2024/02/03,06:11:27
37.567868,127.059872,2024/02/03,06:11:28
37.567866,127.059867,2024/02/03,06:11:29
37.567865,127.059861,2024/02/03,06:11:30
37.567871,127.05985,2024/02/03,06:11:31
37.567885,127.059833,2024/02/03,06:11:32
37.567898,127.059814,2024/02/03,06:11:33
37.567911,127.059797,2024/02/03,06:11:34
37.567921,127.059786,2024/02/03,06:11:35
37.567928,127.059776,2024/02/03,06:11:36
37.567932,127.059767,2024/02/03,06:11:37
37.567931,127.059761,2024/02/03,06:11:38
37.567927,127.059755,2024/02/03,06:11:39
37.567924,127.059749,2024/02/03,06:11:40
37.56792,127.059745,2024/02/03,06:11:41
37.567917,127.059741,2024/02/03,06:11:42
37.567914,127.059738,2024/02/03,06:11:43
37.567912,127.05973,2024/02/03,06:11:44
37.56791,127.059719,2024/02/03,06:11:45
37.567912,127.059706,2024/02/03,06:11:46
37.567912,127.059694,2024/02/03,06:11:47
37.567912,127.059683,2024/02/03,06:11:48
37.567912,127.059674,2024/02/03,06:11:49
37.567914,127.059666,2024/02/03,06:11:50
37.567921,127.059658,2024/02/03,06:11:51
37.567929,127.05965,2024/02/03,06:11:52
37.567939,127.059641,2024/02/03,06:11:53
37.567945,127.05963,2024/02/03,06:11:54
37.567949,127.059618,2024/02/03,06:11:55
37.567946,127.059607,2024/02/03,06:11:56
37.56794,127.059596,2024/02/03,06:11:57
37.567934,127.059586,2024/02/03,06:11:58
37.567928,127.059578,2024/02/03,06:11:59
37.567923,127.059571,2024/02/03,06:12:00
37.567918,127.059564,2024/02/03,06:12:01
37.567912,127.059556,2024/02/03,06:12:02
37.567907,127.059549,2024/02/03,06:12:03
37.567902,127.059541,2024/02/03,06:12:04
37.567899,127.059533,2024/02/03,06:12:05
37.567896,127.059525,2024/02/03,06:12:06
