x,y,d,t
37.55406,127.12306,2024/03/01,01:21:21
37.55406,127.12306,2024/03/01,01:21:22
37.554054,127.123058,2024/03/01,01:21:23
37.554046,127.123054,2024/03/01,01:21:24
37.554037,127.123048,2024/03/01,01:21:25
37.554028,127.123041,2024/03/01,01:21:26
37.554017,127.123034,2024/03/01,01:21:27
37.554005,127.123027,2024/03/01,01:21:28
37.553996,127.123021,2024/03/01,01:21:29
37.553984,127.123017,2024/03/01,01:21:30
37.553972,127.123015,2024/03/01,01:21:31
37.553958,127.12301,2024/03/01,01:21:32
37.553943,127.123002,2024/03/01,01:21:33
37.553927,127.122995,2024/03/01,01:21:34
37.55391,127.122987,2024/03/01,01:21:35
37.553893,127.12298,2024/03/01,01:21:36
37.55387,127.122974,2024/03/01,01:21:37
37.55385,127.122966,2024/03/01,01:21:38
37.553832,127.122956,2024/03/01,01:21:39
37.553815,127.122946,2024/03/01,01:21:40
37.5538,127.122934,2024/03/01,01:21:41
37.553785,127.122923,2024/03/01,01:21:42
37.553773,127.122913,2024/03/01,01:21:43
37.553759,127.122904,2024/03/01,01:21:44
37.553744,127.122895,2024/03/01,01:21:45
37.553729,127.122884,2024/03/01,01:21:46
37.553711,127.122872,2024/03/01,01:21:47
37.553695,127.122859,2024/03/01,01:21:48
37.553677,127.122847,2024/03/01,01:21:49
37.553659,127.122835,2024/03/01,01:21:50
37.553642,127.122823,2024/03/01,01:21:51
37.553625,127.122812,2024/03/01,01:21:52
37.55361,127.1228,2024/03/01,01:21:53
37.553593,127.12279,2024/03/01,01:21:54
37.553555,127.122778,2024/03/01,01:21:55
37.553525,127.122766,2024/03/01,01:21:56
37.5535,127.122757,2024/03/01,01:21:57
37.553479,127.122748,2024/03/01,01:21:58
37.553459,127.12274,2024/03/01,01:21:59
37.553441,127.122732,2024/03/01,01:22:00
37.553423,127.122724,2024/03/01,01:22:01
37.553405,127.122715,2024/03/01,01:22:02
37.553388,127.122707,2024/03/01,01:22:03
37.553371,127.122699,2024/03/01,01:22:04
37.553353,127.122692,2024/03/01,01:22:05
37.553334,127.122684,2024/03/01,01:22:06
37.553315,127.122676,2024/03/01,01:22:07
37.553297,127.122666,2024/03/01,01:22:08
37.553278,127.122657,2024/03/01,01:22:09
37.553261,127.122648,2024/03/01,01:22:10
37.553243,127.12264,2024/03/01,01:22:11
37.553225,127.122633,2024/03/01,01:22:12
37.553206,127.122624,2024/03/01,01:22:13
37.553186,127.122615,2024/03/01,01:22:14
37.553166,127.122607,2024/03/01,01:22:15
37.553146,127.122599,2024/03/01,01:22:16
37.553128,127.122591,2024/03/01,01:22:17
37.553109,127.122582,2024/03/01,01:22:18
37.55309,127.122574,2024/03/01,01:22:19
37.553071,127.122564,2024/03/01,01:22:20
37.553051,127.122554,2024/03/01,01:22:21
37.553031,127.122546,2024/03/01,01:22:22
37.553012,127.122538,2024/03/01,01:22:23
37.552993,127.122531,2024/03/01,01:22:24
37.552975,127.122523,2024/03/01,01:22:25
37.552956,127.122515,2024/03/01,01:22:26
37.552936,127.122507,2024/03/01,01:22:27
37.552917,127.122497,2024/03/01,01:22:28
37.552896,127.122488,2024/03/01,01:22:29
37.552876,127.12248,2024/03/01,01:22:30
37.552855,127.122474,2024/03/01,01:22:31
