x,y,d,t
37.566532,127.061003,2024/04/20,08:25:43
37.566532,127.061003,2024/04/20,08:28:01
37.566545,127.061028,2024/04/20,08:28:02
37.566565,127.061067,2024/04/20,08:28:03
37.56659,127.061112,2024/04/20,08:28:04
37.56676,127.06142,2024/04/20,08:28:06
37.566766,127.06143,2024/04/20,08:28:07
37.566773,127.061439,2024/04/20,08:28:08
37.566784,127.061452,2024/04/20,08:28:09
37.566794,127.061462,2024/04/20,08:28:10
37.566799,127.061469,2024/04/20,08:28:11
37.566802,127.061472,2024/04/20,08:28:12
37.566803,127.061475,2024/04/20,08:28:13
37.566802,127.061479,2024/04/20,08:28:14
37.566801,127.061483,2024/04/20,08:28:15
37.566798,127.061485,2024/04/20,08:28:16
37.566794,127.061484,2024/04/20,08:28:17
37.56679,127.061484,2024/04/20,08:28:18
37.566789,127.061486,2024/04/20,08:28:19
37.566788,127.061493,2024/04/20,08:28:20
37.566788,127.061497,2024/04/20,08:28:21
37.566787,127.0615,2024/04/20,08:28:22
37.566787,127.061502,2024/04/20,08:28:23
37.566788,127.061503,2024/04/20,08:28:24
37.56679,127.061506,2024/04/20,08:28:25
37.566792,127.061507,2024/04/20,08:28:26
37.566794,127.061507,2024/04/20,08:28:27
37.566795,127.061507,2024/04/20,08:28:28
37.566797,127.061508,2024/04/20,08:28:29
37.566798,127.061519,2024/04/20,08:28:30
37.566799,127.061527,2024/04/20,08:28:31
37.566804,127.061545,2024/04/20,08:28:32
37.566808,127.06157,2024/04/20,08:28:33
37.566815,127.061593,2024/04/20,08:28:34
37.566823,127.061616,2024/04/20,08:28:35
37.566824,127.061621,2024/04/20,08:28:36
37.566825,127.061625,2024/04/20,08:28:37
37.566824,127.061626,2024/04/20,08:28:38
37.566822,127.061625,2024/04/20,08:28:39
37.566821,127.061625,2024/04/20,08:28:40
37.56682,127.061625,2024/04/20,08:28:41
37.566819,127.061625,2024/04/20,08:28:42
37.566819,127.061625,2024/04/20,08:28:43
37.566818,127.061625,2024/04/20,08:28:44
37.566817,127.061626,2024/04/20,08:28:45
37.566816,127.061627,2024/04/20,08:28:46
37.566815,127.061627,2024/04/20,08:28:47
37.566815,127.061628,2024/04/20,08:28:48
37.566814,127.061629,2024/04/20,08:28:49
37.566815,127.061629,2024/04/20,08:28:50
37.566814,127.06163,2024/04/20,08:28:51
37.566813,127.06163,2024/04/20,08:28:52
37.566812,127.061631,2024/04/20,08:28:53
37.566812,127.061632,2024/04/20,08:28:54
37.566812,127.061632,2024/04/20,08:28:55
37.566811,127.061632,2024/04/20,08:28:56
37.566811,127.061633,2024/04/20,08:28:57
37.566811,127.061633,2024/04/20,08:28:58
37.566812,127.061633,2024/04/20,08:28:59
37.566812,127.061633,2024/04/20,08:29:00
37.566813,127.061633,2024/04/20,08:29:01
37.566814,127.061633,2024/04/20,08:29:02
37.566814,127.061634,2024/04/20,08:29:03
37.566815,127.061634,2024/04/20,08:29:04
37.566815,127.061634,2024/04/20,08:29:05
37.566816,127.061634,2024/04/20,08:29:06
37.566816,127.061635,2024/04/20,08:29:07
37.566816,127.061636,2024/04/20,08:29:08
37.566816,127.061636,2024/04/20,08:29:09
37.566817,127.061636,2024/04/20,08:29:10
37.566818,127.061636,2024/04/20,08:29:11
37.566819,127.061639,2024/04/20,08:29:12
37.566818,127.061644,2024/04/20,08:29:13
37.566817,127.061651,2024/04/20,08:29:14
37.566814,127.061661,2024/04/20,08:29:15
37.56681,127.061676,2024/04/20,08:29:16
37.566809,127.061692,2024/04/20,08:29:17
37.566805,127.061712,2024/04/20,08:29:18
37.566798,127.061734,2024/04/20,08:29:19
37.566788,127.061762,2024/04/20,08:29:20
37.566776,127.061793,2024/04/20,08:29:21
37.566764,127.061824,2024/04/20,08:29:22
37.566753,127.061856,2024/04/20,08:29:23
37.56674,127.061886,2024/04/20,08:29:24
37.566723,127.061914,2024/04/20,08:29:25
37.566702,127.06194,2024/04/20,08:29:26
37.566683,127.061968,2024/04/20,08:29:27
37.566664,127.061999,2024/04/20,08:29:28
37.566645,127.06203,2024/04/20,08:29:29
37.566629,127.062062,2024/04/20,08:29:30
37.566609,127.062089,2024/04/20,08:29:31
37.566588,127.062108,2024/04/20,08:29:32
37.566571,127.062119,2024/04/20,08:29:33
37.566555,127.062124,2024/04/20,08:29:34
37.566538,127.062126,2024/04/20,08:29:35
37.566521,127.062126,2024/04/20,08:29:36
37.566502,127.062132,2024/04/20,08:29:37
37.566468,127.062148,2024/04/20,08:29:38
37.566437,127.062165,2024/04/20,08:29:39
37.566409,127.062186,2024/04/20,08:29:40
37.566387,127.062207,2024/04/20,08:29:41
37.566362,127.062231,2024/04/20,08:29:42
37.566342,127.06226,2024/04/20,08:29:43
37.566328,127.062286,2024/04/20,08:29:44
37.566317,127.062307,2024/04/20,08:29:45
37.5663,127.062322,2024/04/20,08:29:46
37.566282,127.06233,2024/04/20,08:29:47
37.566264,127.062338,2024/04/20,08:29:48
37.566243,127.062357,2024/04/20,08:29:49
37.566218,127.062378,2024/04/20,08:29:50
37.566189,127.062405,2024/04/20,08:29:51
37.566163,127.062423,2024/04/20,08:29:52
37.56614,127.062435,2024/04/20,08:29:53
37.566119,127.062445,2024/04/20,08:29:54
37.566097,127.062457,2024/04/20,08:29:55
37.566074,127.062475,2024/04/20,08:29:56
37.566051,127.062495,2024/04/20,08:29:57
37.566026,127.062521,2024/04/20,08:29:58
37.566001,127.062555,2024/04/20,08:29:59
37.565976,127.062595,2024/04/20,08:30:00
37.565952,127.062636,2024/04/20,08:30:01
37.565927,127.062678,2024/04/20,08:30:02
37.565903,127.062718,2024/04/20,08:30:03
37.565881,127.062757,2024/04/20,08:30:04
37.56586,127.062794,2024/04/20,08:30:05
37.565841,127.062829,2024/04/20,08:30:06
37.565823,127.062862,2024/04/20,08:30:07
37.565804,127.062898,2024/04/20,08:30:08
37.565784,127.062932,2024/04/20,08:30:09
37.565765,127.062966,2024/04/20,08:30:10
37.565745,127.063,2024/04/20,08:30:11
37.565725,127.063035,2024/04/20,08:30:12
37.565709,127.063069,2024/04/20,08:30:13
37.565694,127.0631,2024/04/20,08:30:14
37.565678,127.06313,2024/04/20,08:30:15
37.565659,127.063157,2024/04/20,08:30:16
