x,y,d,t
37.565335,127.063657,2024/06/01,11:33:58
37.565335,127.063657,2024/06/01,11:34:04
37.565329,127.063667,2024/06/01,11:34:05
37.565325,127.063687,2024/06/01,11:34:06
37.565318,127.06371,2024/06/01,11:34:07
37.565311,127.063736,2024/06/01,11:34:08
37.565306,127.063762,2024/06/01,11:34:09
37.565302,127.063787,2024/06/01,11:34:10
37.565297,127.063814,2024/06/01,11:34:11
37.565292,127.063841,2024/06/01,11:34:12
37.565285,127.063866,2024/06/01,11:34:13
37.565275,127.06389,2024/06/01,11:34:14
37.565257,127.063926,2024/06/01,11:34:15
37.565239,127.063964,2024/06/01,11:34:16
37.565224,127.064003,2024/06/01,11:34:17
37.565211,127.064041,2024/06/01,11:34:18
37.565198,127.064075,2024/06/01,11:34:19
37.565183,127.064107,2024/06/01,11:34:20
37.565168,127.064135,2024/06/01,11:34:21
37.565155,127.064164,2024/06/01,11:34:22
37.565141,127.064193,2024/06/01,11:34:23
37.565126,127.064223,2024/06/01,11:34:24
37.565107,127.064254,2024/06/01,11:34:25
37.565084,127.064281,2024/06/01,11:34:26
37.565061,127.064303,2024/06/01,11:34:27
37.565039,127.064326,2024/06/01,11:34:28
37.56502,127.064352,2024/06/01,11:34:29
37.564998,127.064381,2024/06/01,11:34:30
37.564977,127.064404,2024/06/01,11:34:31
37.564958,127.064428,2024/06/01,11:34:32
37.564939,127.064447,2024/06/01,11:34:33
37.56492,127.064465,2024/06/01,11:34:34
37.564906,127.064486,2024/06/01,11:34:35
37.564899,127.064512,2024/06/01,11:34:36
37.564895,127.064542,2024/06/01,11:34:37
37.564893,127.064575,2024/06/01,11:34:38
37.564896,127.064613,2024/06/01,11:34:39
37.564897,127.06465,2024/06/01,11:34:40
37.564897,127.064687,2024/06/01,11:34:41
37.564894,127.064721,2024/06/01,11:34:42
37.564886,127.064752,2024/06/01,11:34:43
37.564876,127.06478,2024/06/01,11:34:44
37.564864,127.064806,2024/06/01,11:34:45
37.56485,127.064829,2024/06/01,11:34:46
37.564836,127.064854,2024/06/01,11:34:47
37.564822,127.064879,2024/06/01,11:34:48
37.56481,127.064905,2024/06/01,11:34:49
37.564798,127.064931,2024/06/01,11:34:50
37.564787,127.064958,2024/06/01,11:34:51
37.564775,127.064984,2024/06/01,11:34:52
37.564766,127.065013,2024/06/01,11:34:53
37.56476,127.065046,2024/06/01,11:34:54
37.564754,127.065078,2024/06/01,11:34:55
37.564747,127.065111,2024/06/01,11:34:56
37.564738,127.065144,2024/06/01,11:34:57
37.564736,127.065184,2024/06/01,11:34:58
37.564731,127.065221,2024/06/01,11:34:59
37.564724,127.065255,2024/06/01,11:35:00
37.564714,127.065283,2024/06/01,11:35:01
37.564701,127.065307,2024/06/01,11:35:02
37.564681,127.065326,2024/06/01,11:35:03
37.564659,127.06534,2024/06/01,11:35:04
37.564638,127.065354,2024/06/01,11:35:05
37.564618,127.06537,2024/06/01,11:35:06
37.564597,127.065384,2024/06/01,11:35:07
37.564577,127.065399,2024/06/01,11:35:08
37.564557,127.065414,2024/06/01,11:35:09
37.564535,127.065429,2024/06/01,11:35:10
37.564514,127.065444,2024/06/01,11:35:11
37.564493,127.065453,2024/06/01,11:35:12
37.56447,127.065464,2024/06/01,11:35:13
37.564447,127.065475,2024/06/01,11:35:14
37.564425,127.065486,2024/06/01,11:35:15
37.564406,127.065499,2024/06/01,11:35:16
37.564387,127.06551,2024/06/01,11:35:17
37.564372,127.065522,2024/06/01,11:35:18
37.564363,127.065545,2024/06/01,11:35:19
37.564358,127.065575,2024/06/01,11:35:20
37.564355,127.065606,2024/06/01,11:35:21
37.564341,127.065621,2024/06/01,11:35:22
37.564322,127.065636,2024/06/01,11:35:23
37.564303,127.065651,2024/06/01,11:35:24
37.564285,127.065669,2024/06/01,11:35:25
37.564265,127.065684,2024/06/01,11:35:26
37.564246,127.065704,2024/06/01,11:35:27
37.564227,127.065728,2024/06/01,11:35:28
37.564209,127.065752,2024/06/01,11:35:29
37.564195,127.065777,2024/06/01,11:35:30
37.564184,127.065804,2024/06/01,11:35:31
37.564173,127.065831,2024/06/01,11:35:32
37.56416,127.065858,2024/06/01,11:35:33
37.564145,127.065884,2024/06/01,11:35:34
37.56413,127.065909,2024/06/01,11:35:35
37.564113,127.065931,2024/06/01,11:35:36
37.564098,127.065954,2024/06/01,11:35:37
37.564084,127.06598,2024/06/01,11:35:38
37.564072,127.066008,2024/06/01,11:35:39
37.564061,127.066036,2024/06/01,11:35:40
37.564052,127.066064,2024/06/01,11:35:41
37.564044,127.066092,2024/06/01,11:35:42
37.564031,127.066117,2024/06/01,11:35:43
37.564016,127.066137,2024/06/01,11:35:44
37.564002,127.066154,2024/06/01,11:35:45
37.563986,127.066165,2024/06/01,11:35:46
37.563968,127.066168,2024/06/01,11:35:47
37.56395,127.066167,2024/06/01,11:35:48
37.563937,127.066166,2024/06/01,11:35:49
37.563929,127.066167,2024/06/01,11:35:50
37.563927,127.066168,2024/06/01,11:35:51
