x,y,d,t
37.56245,127.068875,2024/06/04,13:22:19
37.56245,127.068875,2024/06/04,13:22:20
37.562456,127.068869,2024/06/04,13:22:21
37.562469,127.068858,2024/06/04,13:22:22
37.562483,127.06884,2024/06/04,13:22:23
37.562493,127.068816,2024/06/04,13:22:24
37.562504,127.06879,2024/06/04,13:22:25
37.562515,127.068768,2024/06/04,13:22:26
37.562528,127.068746,2024/06/04,13:22:27
37.562542,127.068721,2024/06/04,13:22:28
37.562554,127.068695,2024/06/04,13:22:29
37.562563,127.06867,2024/06/04,13:22:30
37.562572,127.068644,2024/06/04,13:22:31
37.562581,127.068621,2024/06/04,13:22:32
37.562591,127.068599,2024/06/04,13:22:33
37.562601,127.068574,2024/06/04,13:22:34
37.562613,127.068551,2024/06/04,13:22:35
37.562625,127.068528,2024/06/04,13:22:36
37.562641,127.068508,2024/06/04,13:22:37
37.562659,127.068494,2024/06/04,13:22:38
37.562683,127.068484,2024/06/04,13:22:39
37.562701,127.068471,2024/06/04,13:22:40
37.562717,127.068455,2024/06/04,13:22:41
37.562733,127.068435,2024/06/04,13:22:42
37.562748,127.068414,2024/06/04,13:22:43
37.56276,127.068393,2024/06/04,13:22:44
37.562768,127.068369,2024/06/04,13:22:45
37.562777,127.068346,2024/06/04,13:22:46
37.562789,127.068325,2024/06/04,13:22:47
37.562802,127.068304,2024/06/04,13:22:48
37.562811,127.068281,2024/06/04,13:22:49
37.562819,127.068256,2024/06/04,13:22:50
37.562824,127.068229,2024/06/04,13:22:51
37.56283,127.068204,2024/06/04,13:22:52
37.562835,127.068176,2024/06/04,13:22:53
37.562839,127.068145,2024/06/04,13:22:54
37.562845,127.068114,2024/06/04,13:22:55
37.562852,127.068083,2024/06/04,13:22:56
37.562861,127.068052,2024/06/04,13:22:57
37.562872,127.068021,2024/06/04,13:22:58
37.562882,127.067991,2024/06/04,13:22:59
37.562893,127.067965,2024/06/04,13:23:00
37.562903,127.067945,2024/06/04,13:23:01
37.562917,127.067929,2024/06/04,13:23:02
37.56293,127.067912,2024/06/04,13:23:03
37.562944,127.067896,2024/06/04,13:23:04
37.56296,127.067879,2024/06/04,13:23:05
37.562975,127.067858,2024/06/04,13:23:06
37.562989,127.067838,2024/06/04,13:23:07
37.563003,127.067818,2024/06/04,13:23:08
37.563016,127.0678,2024/06/04,13:23:09
37.563028,127.067781,2024/06/04,13:23:10
37.563041,127.067762,2024/06/04,13:23:11
37.563052,127.067741,2024/06/04,13:23:12
37.563062,127.067718,2024/06/04,13:23:13
37.563074,127.067696,2024/06/04,13:23:14
37.563088,127.067674,2024/06/04,13:23:15
37.563104,127.067655,2024/06/04,13:23:16
37.563118,127.067637,2024/06/04,13:23:17
37.56313,127.067616,2024/06/04,13:23:18
37.563142,127.067596,2024/06/04,13:23:19
37.563155,127.067577,2024/06/04,13:23:20
37.563169,127.067556,2024/06/04,13:23:21
37.563183,127.067535,2024/06/04,13:23:22
37.563195,127.067515,2024/06/04,13:23:23
37.563207,127.067495,2024/06/04,13:23:24
37.563218,127.067474,2024/06/04,13:23:25
37.56323,127.067452,2024/06/04,13:23:26
37.563243,127.06743,2024/06/04,13:23:27
37.56326,127.067412,2024/06/04,13:23:28
37.563278,127.067397,2024/06/04,13:23:29
37.563296,127.067379,2024/06/04,13:23:30
37.563315,127.067362,2024/06/04,13:23:32
37.563331,127.067343,2024/06/04,13:23:33
37.563345,127.067322,2024/06/04,13:23:34
37.563358,127.0673,2024/06/04,13:23:35
37.563368,127.067279,2024/06/04,13:23:36
37.563377,127.067259,2024/06/04,13:23:37
37.563385,127.067239,2024/06/04,13:23:38
37.563396,127.067223,2024/06/04,13:23:39
37.56341,127.067211,2024/06/04,13:23:40
37.563426,127.067198,2024/06/04,13:23:41
37.563439,127.067183,2024/06/04,13:23:42
37.563452,127.067167,2024/06/04,13:23:43
37.563464,127.067146,2024/06/04,13:23:44
37.563478,127.067125,2024/06/04,13:23:45
37.563491,127.067102,2024/06/04,13:23:46
37.563503,127.067076,2024/06/04,13:23:47
37.563514,127.06705,2024/06/04,13:23:48
37.563523,127.067022,2024/06/04,13:23:49
37.56353,127.066993,2024/06/04,13:23:50
37.563535,127.066966,2024/06/04,13:23:51
37.563537,127.066938,2024/06/04,13:23:52
37.563536,127.066909,2024/06/04,13:23:53
37.563537,127.066881,2024/06/04,13:23:54
37.563541,127.066852,2024/06/04,13:23:55
37.563546,127.066827,2024/06/04,13:23:56
37.563554,127.066806,2024/06/04,13:23:57
37.563566,127.066791,2024/06/04,13:23:58
37.563579,127.066777,2024/06/04,13:23:59
37.563595,127.066763,2024/06/04,13:24:00
37.563612,127.066748,2024/06/04,13:24:01
37.563628,127.066732,2024/06/04,13:24:02
37.563642,127.066715,2024/06/04,13:24:03
37.563657,127.066699,2024/06/04,13:24:04
37.563672,127.066683,2024/06/04,13:24:05
37.563685,127.066663,2024/06/04,13:24:06
37.5637,127.066643,2024/06/04,13:24:07
37.563715,127.066627,2024/06/04,13:24:08
37.56373,127.066611,2024/06/04,13:24:09
37.563744,127.066595,2024/06/04,13:24:10
37.563755,127.066578,2024/06/04,13:24:11
37.563764,127.066562,2024/06/04,13:24:12
37.563771,127.066545,2024/06/04,13:24:13
37.563778,127.066529,2024/06/04,13:24:14
37.563785,127.066514,2024/06/04,13:24:15
37.563788,127.0665,2024/06/04,13:24:16
37.563791,127.066486,2024/06/04,13:24:17
37.563794,127.066474,2024/06/04,13:24:18
37.563797,127.066462,2024/06/04,13:24:19
37.563799,127.066447,2024/06/04,13:24:20
37.563804,127.066434,2024/06/04,13:24:21
37.563811,127.066422,2024/06/04,13:24:22
37.563819,127.06641,2024/06/04,13:24:23
37.563832,127.066403,2024/06/04,13:24:24
37.563842,127.066398,2024/06/04,13:24:25
37.563847,127.066393,2024/06/04,13:24:26
37.563848,127.066389,2024/06/04,13:24:27
37.563843,127.066382,2024/06/04,13:24:28
37.563839,127.066376,2024/06/04,13:24:29
37.563835,127.066371,2024/06/04,13:24:30
37.563834,127.066368,2024/06/04,13:24:31
37.563832,127.066364,2024/06/04,13:24:32
37.563829,127.066361,2024/06/04,13:24:33
37.563828,127.06636,2024/06/04,13:24:34
37.563827,127.066359,2024/06/04,13:24:35
37.563827,127.066357,2024/06/04,13:24:36
37.563826,127.066356,2024/06/04,13:24:37
37.563826,127.066356,2024/06/04,13:24:38
37.563826,127.066355,2024/06/04,13:24:39
37.563826,127.066354,2024/06/04,13:24:40
37.563826,127.066353,2024/06/04,13:24:41
37.563826,127.066353,2024/06/04,13:24:42
37.563826,127.066353,2024/06/04,13:24:43
37.563826,127.066352,2024/06/04,13:24:44
37.563826,127.066352,2024/06/04,13:24:45
37.563825,127.066351,2024/06/04,13:24:46
37.563824,127.066351,2024/06/04,13:24:47
37.563824,127.066351,2024/06/04,13:24:48
37.563825,127.066351,2024/06/04,13:24:49
37.56383,127.066349,2024/06/04,13:24:50
37.563834,127.066343,2024/06/04,13:24:51
37.563837,127.066336,2024/06/04,13:24:52
37.56384,127.066326,2024/06/04,13:24:53
37.563843,127.066315,2024/06/04,13:24:54
37.563847,127.066302,2024/06/04,13:24:55
37.563852,127.066289,2024/06/04,13:24:56
37.563858,127.066277,2024/06/04,13:24:57
37.563865,127.066266,2024/06/04,13:24:58
37.563873,127.066254,2024/06/04,13:24:59
37.563885,127.06624,2024/06/04,13:25:00
37.563897,127.066224,2024/06/04,13:25:01
37.563909,127.066211,2024/06/04,13:25:02
37.56392,127.066195,2024/06/04,13:25:03
37.56393,127.066182,2024/06/04,13:25:04
37.563941,127.066169,2024/06/04,13:25:05
37.56395,127.066158,2024/06/04,13:25:06
37.563958,127.066148,2024/06/04,13:25:07
37.563967,127.066137,2024/06/04,13:25:08
37.563975,127.066126,2024/06/04,13:25:09
37.563981,127.066118,2024/06/04,13:25:10
37.563985,127.066108,2024/06/04,13:25:11
37.563989,127.066098,2024/06/04,13:25:12
37.563993,127.066086,2024/06/04,13:25:13
37.563997,127.066072,2024/06/04,13:25:14
37.564001,127.066058,2024/06/04,13:25:15
37.564006,127.066045,2024/06/04,13:25:16
37.564013,127.066032,2024/06/04,13:25:17
37.564022,127.066019,2024/06/04,13:25:18
37.564032,127.066007,2024/06/04,13:25:19
37.564041,127.065995,2024/06/04,13:25:20
37.564052,127.065986,2024/06/04,13:25:21
37.564065,127.065979,2024/06/04,13:25:22
37.564078,127.065973,2024/06/04,13:25:23
37.56409,127.065965,2024/06/04,13:25:24
37.564105,127.06596,2024/06/04,13:25:25
