x,y,d,t
37.56121,127.071442,2024/06/30,02:09:34
37.56121,127.071442,2024/06/30,02:09:44
37.561217,127.071443,2024/06/30,02:09:45
37.561234,127.071446,2024/06/30,02:09:46
37.561256,127.071448,2024/06/30,02:09:47
37.561281,127.071445,2024/06/30,02:09:48
37.561306,127.071443,2024/06/30,02:09:49
37.561342,127.071418,2024/06/30,02:09:50
37.561373,127.071403,2024/06/30,02:09:51
37.561403,127.0714,2024/06/30,02:09:52
37.561435,127.071408,2024/06/30,02:09:53
37.561461,127.071419,2024/06/30,02:09:54
37.561481,127.071433,2024/06/30,02:09:55
37.561505,127.071458,2024/06/30,02:09:56
37.561521,127.071479,2024/06/30,02:09:57
37.561537,127.071502,2024/06/30,02:09:58
37.561551,127.071523,2024/06/30,02:09:59
37.561565,127.071544,2024/06/30,02:10:00
37.561581,127.071565,2024/06/30,02:10:01
37.561596,127.071586,2024/06/30,02:10:02
37.561614,127.071605,2024/06/30,02:10:03
37.561634,127.071622,2024/06/30,02:10:04
37.561653,127.071639,2024/06/30,02:10:05
37.561675,127.071651,2024/06/30,02:10:06
37.561699,127.071663,2024/06/30,02:10:07
37.56172,127.071676,2024/06/30,02:10:08
37.56174,127.071692,2024/06/30,02:10:09
37.561761,127.071708,2024/06/30,02:10:10
37.561781,127.071724,2024/06/30,02:10:11
37.5618,127.071744,2024/06/30,02:10:12
37.561819,127.071764,2024/06/30,02:10:13
37.561837,127.07178,2024/06/30,02:10:14
37.561853,127.071797,2024/06/30,02:10:15
37.561868,127.071811,2024/06/30,02:10:16
37.561883,127.071825,2024/06/30,02:10:17
37.561899,127.071839,2024/06/30,02:10:18
37.561914,127.071853,2024/06/30,02:10:19
37.561929,127.071869,2024/06/30,02:10:20
37.561945,127.071884,2024/06/30,02:10:21
37.561963,127.071901,2024/06/30,02:10:22
37.561979,127.071917,2024/06/30,02:10:23
37.561995,127.071934,2024/06/30,02:10:24
37.562014,127.071949,2024/06/30,02:10:25
37.562034,127.071961,2024/06/30,02:10:26
37.562053,127.071973,2024/06/30,02:10:27
37.56207,127.071984,2024/06/30,02:10:28
37.562087,127.071992,2024/06/30,02:10:29
37.562101,127.071996,2024/06/30,02:10:30
37.56212,127.071999,2024/06/30,02:10:31
37.562141,127.072001,2024/06/30,02:10:32
37.562163,127.072002,2024/06/30,02:10:33
37.562185,127.072001,2024/06/30,02:10:34
37.562206,127.072001,2024/06/30,02:10:35
37.562233,127.072007,2024/06/30,02:10:36
37.562258,127.072015,2024/06/30,02:10:37
37.56228,127.072021,2024/06/30,02:10:38
37.562301,127.072028,2024/06/30,02:10:39
37.562322,127.072035,2024/06/30,02:10:40
37.562344,127.072044,2024/06/30,02:10:41
37.562364,127.072054,2024/06/30,02:10:42
37.562383,127.072063,2024/06/30,02:10:43
37.5624,127.072073,2024/06/30,02:10:44
37.562415,127.072079,2024/06/30,02:10:45
37.562431,127.072087,2024/06/30,02:10:46
37.562453,127.072094,2024/06/30,02:10:47
37.562478,127.072103,2024/06/30,02:10:48
37.5625,127.072111,2024/06/30,02:10:49
37.562519,127.072121,2024/06/30,02:10:50
37.562542,127.072139,2024/06/30,02:10:51
