x,y,d,t
37.56616,127.061456,2024/08/18,00:54:38
37.566068,127.061465,2024/08/18,00:54:39
37.566084,127.061463,2024/08/18,00:54:40
37.566072,127.06151,2024/08/18,00:54:42
37.566072,127.061523,2024/08/18,00:54:44
37.56607,127.061512,2024/08/18,00:54:57
37.566054,127.061497,2024/08/18,00:55:04
37.566024,127.061467,2024/08/18,00:55:05
37.565973,127.061424,2024/08/18,00:55:07
37.565941,127.061399,2024/08/18,00:55:08
37.56586,127.061322,2024/08/18,00:55:11
37.565747,127.061233,2024/08/18,00:55:13
37.565618,127.061132,2024/08/18,00:55:14
37.565478,127.061,2024/08/18,00:55:16
37.565409,127.060926,2024/08/18,00:55:18
37.565349,127.060844,2024/08/18,00:55:19
37.565229,127.060682,2024/08/18,00:55:21
37.565115,127.060514,2024/08/18,00:55:23
37.564997,127.060343,2024/08/18,00:55:25
37.564871,127.060182,2024/08/18,00:55:27
37.564739,127.060019,2024/08/18,00:55:29
37.564604,127.059836,2024/08/18,00:55:31
37.564484,127.05967,2024/08/18,00:55:33
37.564439,127.059603,2024/08/18,00:55:34
37.564415,127.059565,2024/08/18,00:56:01
37.564396,127.059538,2024/08/18,00:56:02
37.564378,127.059511,2024/08/18,00:56:03
37.564348,127.059458,2024/08/18,00:56:05
37.564308,127.059403,2024/08/18,00:56:06
37.56422,127.059262,2024/08/18,00:56:08
37.56411,127.05911,2024/08/18,00:56:10
37.56399,127.058948,2024/08/18,00:56:12
37.563852,127.058791,2024/08/18,00:56:14
37.563717,127.058664,2024/08/18,00:56:16
37.563652,127.058606,2024/08/18,00:56:17
37.563545,127.058505,2024/08/18,00:56:19
37.563453,127.058418,2024/08/18,00:56:20
37.563416,127.058389,2024/08/18,00:56:21
37.563384,127.058361,2024/08/18,00:56:23
37.563357,127.058333,2024/08/18,00:56:24
37.563334,127.058313,2024/08/18,00:56:25
37.563303,127.058292,2024/08/18,00:56:26
37.563289,127.058277,2024/08/18,00:56:28
37.563277,127.058272,2024/08/18,00:56:30
37.563258,127.058262,2024/08/18,00:57:17
37.563207,127.058215,2024/08/18,00:57:20
37.563126,127.058129,2024/08/18,00:57:22
37.563017,127.058065,2024/08/18,00:57:24
37.562952,127.058048,2024/08/18,00:57:25
37.56283,127.058043,2024/08/18,00:57:27
37.562777,127.05807,2024/08/18,00:57:28
37.56273,127.05811,2024/08/18,00:57:29
37.562644,127.058243,2024/08/18,00:57:31
37.562539,127.058436,2024/08/18,00:57:33
37.562481,127.058545,2024/08/18,00:57:34
37.562431,127.058674,2024/08/18,00:57:35
37.562325,127.058947,2024/08/18,00:57:37
37.562275,127.05909,2024/08/18,00:57:38
37.562188,127.059385,2024/08/18,00:57:40
37.562158,127.059534,2024/08/18,00:57:41
37.562098,127.059829,2024/08/18,00:57:43
37.562073,127.059978,2024/08/18,00:57:44
37.562046,127.060123,2024/08/18,00:57:45
37.56201,127.060391,2024/08/18,00:57:47
37.561974,127.060666,2024/08/18,00:57:49
37.561955,127.060808,2024/08/18,00:57:50
37.561917,127.061105,2024/08/18,00:57:52
37.561877,127.061405,2024/08/18,00:57:54
37.561849,127.061557,2024/08/18,00:57:55
37.561797,127.06188,2024/08/18,00:57:57
