x,y,d,t
37.567871,127.058821,2024/08/19,21:55:07
37.567886,127.058807,2024/08/19,21:55:09
37.567894,127.0588,2024/08/19,21:55:10
37.567903,127.05877,2024/08/19,21:55:12
37.567912,127.058758,2024/08/19,21:55:13
37.56795,127.058742,2024/08/19,21:55:15
37.567986,127.058708,2024/08/19,21:55:17
37.56799,127.058692,2024/08/19,21:55:18
37.568011,127.058668,2024/08/19,21:55:20
37.568047,127.058642,2024/08/19,21:55:22
37.568075,127.058603,2024/08/19,21:55:24
37.568074,127.058564,2024/08/19,21:55:25
37.568068,127.058492,2024/08/19,21:55:27
37.56805,127.058428,2024/08/19,21:55:29
37.568026,127.058373,2024/08/19,21:55:31
37.567994,127.058326,2024/08/19,21:55:33
37.567957,127.058274,2024/08/19,21:55:35
37.56791,127.058226,2024/08/19,21:55:37
37.567892,127.058206,2024/08/19,21:55:38
37.567866,127.058169,2024/08/19,21:55:40
37.567852,127.058145,2024/08/19,21:55:41
37.567818,127.058116,2024/08/19,21:55:43
37.567794,127.058107,2024/08/19,21:55:44
37.567748,127.058089,2024/08/19,21:55:46
37.567722,127.058057,2024/08/19,21:55:48
37.567702,127.058043,2024/08/19,21:55:49
37.567658,127.058009,2024/08/19,21:55:51
37.567649,127.057987,2024/08/19,21:55:52
37.567643,127.057918,2024/08/19,21:55:54
37.56765,127.057843,2024/08/19,21:55:56
37.567654,127.057807,2024/08/19,21:55:57
37.567649,127.057734,2024/08/19,21:55:59
37.567639,127.057702,2024/08/19,21:56:00
37.567622,127.05765,2024/08/19,21:56:02
37.567607,127.057623,2024/08/19,21:56:03
37.567598,127.057567,2024/08/19,21:56:05
37.567593,127.057539,2024/08/19,21:56:06
37.567589,127.057484,2024/08/19,21:56:08
37.567595,127.057441,2024/08/19,21:56:10
37.567595,127.057415,2024/08/19,21:56:11
37.567605,127.057391,2024/08/19,21:56:12
37.567611,127.057338,2024/08/19,21:56:14
37.567595,127.057309,2024/08/19,21:56:16
37.567594,127.057294,2024/08/19,21:56:17
37.567602,127.057251,2024/08/19,21:56:19
37.567593,127.057212,2024/08/19,21:56:21
37.567595,127.057187,2024/08/19,21:56:22
37.567603,127.057143,2024/08/19,21:56:24
37.567596,127.057094,2024/08/19,21:56:26
37.567573,127.057053,2024/08/19,21:56:28
37.567544,127.05702,2024/08/19,21:56:30
37.567517,127.056993,2024/08/19,21:56:32
37.567505,127.056987,2024/08/19,21:56:33
37.567471,127.056968,2024/08/19,21:56:35
37.567432,127.056947,2024/08/19,21:56:37
37.567409,127.056937,2024/08/19,21:56:38
37.567389,127.056922,2024/08/19,21:56:39
37.567348,127.056898,2024/08/19,21:56:41
37.567297,127.05689,2024/08/19,21:56:43
37.567255,127.05687,2024/08/19,21:56:45
37.567228,127.056863,2024/08/19,21:56:46
37.567204,127.056858,2024/08/19,21:56:47
37.567161,127.056844,2024/08/19,21:56:49
37.567112,127.056823,2024/08/19,21:56:51
37.567088,127.05681,2024/08/19,21:56:52
