x,y,d,t
37.561687,127.050013,2024/08/24,02:48:47
37.561634,127.050051,2024/08/24,02:48:49
37.561606,127.050065,2024/08/24,02:48:50
37.561543,127.050075,2024/08/24,02:48:52
37.561521,127.050073,2024/08/24,02:48:53
37.561506,127.050063,2024/08/24,02:48:54
37.561491,127.05005,2024/08/24,02:48:55
37.561475,127.050043,2024/08/24,02:48:56
37.561436,127.050026,2024/08/24,02:48:58
37.56141,127.050033,2024/08/24,02:48:59
37.561364,127.050052,2024/08/24,02:49:01
37.561314,127.050063,2024/08/24,02:49:03
37.561297,127.050077,2024/08/24,02:49:04
37.561267,127.050095,2024/08/24,02:49:06
37.561254,127.050096,2024/08/24,02:49:07
37.561227,127.050099,2024/08/24,02:49:09
37.56119,127.050094,2024/08/24,02:49:11
37.561145,127.0501,2024/08/24,02:49:13
37.561125,127.050104,2024/08/24,02:49:14
37.561061,127.050121,2024/08/24,02:49:16
37.56096,127.050143,2024/08/24,02:49:18
37.560879,127.050174,2024/08/24,02:49:20
37.560805,127.0502,2024/08/24,02:49:22
37.560737,127.050219,2024/08/24,02:49:24
37.560584,127.050268,2024/08/24,02:49:26
37.560533,127.050295,2024/08/24,02:49:27
37.560435,127.050342,2024/08/24,02:49:29
37.560403,127.050357,2024/08/24,02:49:30
37.560342,127.05038,2024/08/24,02:49:31
37.560249,127.050433,2024/08/24,02:49:33
37.560153,127.050471,2024/08/24,02:49:35
37.560057,127.0505,2024/08/24,02:49:37
37.560011,127.050512,2024/08/24,02:49:38
37.559928,127.050549,2024/08/24,02:49:40
37.559865,127.050595,2024/08/24,02:49:42
37.559826,127.050617,2024/08/24,02:49:43
37.55978,127.050649,2024/08/24,02:49:45
37.559746,127.05068,2024/08/24,02:49:47
37.5597,127.050712,2024/08/24,02:49:49
37.559652,127.050744,2024/08/24,02:49:51
37.559624,127.050762,2024/08/24,02:49:52
37.559567,127.050796,2024/08/24,02:49:54
37.55951,127.050838,2024/08/24,02:49:56
37.559443,127.050873,2024/08/24,02:49:58
37.559408,127.050891,2024/08/24,02:49:59
37.559369,127.050907,2024/08/24,02:50:00
37.559202,127.05095,2024/08/24,02:50:02
37.559175,127.050963,2024/08/24,02:50:03
37.559142,127.050976,2024/08/24,02:50:04
37.559104,127.050988,2024/08/24,02:50:05
37.559035,127.051016,2024/08/24,02:50:07
37.558971,127.051045,2024/08/24,02:50:09
37.558901,127.051056,2024/08/24,02:50:10
37.558778,127.051072,2024/08/24,02:50:12
37.558739,127.05109,2024/08/24,02:50:13
37.558704,127.051106,2024/08/24,02:50:14
37.558664,127.051128,2024/08/24,02:50:15
37.55863,127.051146,2024/08/24,02:50:16
37.558571,127.051173,2024/08/24,02:50:18
37.558534,127.051193,2024/08/24,02:50:19
37.558473,127.05122,2024/08/24,02:50:21
37.558407,127.051245,2024/08/24,02:50:23
37.558372,127.051266,2024/08/24,02:50:24
37.558314,127.051294,2024/08/24,02:50:26
37.558266,127.051324,2024/08/24,02:50:28
37.55824,127.051341,2024/08/24,02:50:29
37.558179,127.051374,2024/08/24,02:50:31
37.558153,127.051385,2024/08/24,02:50:32
37.558124,127.0514,2024/08/24,02:50:33
37.558075,127.051431,2024/08/24,02:50:35
37.558012,127.051454,2024/08/24,02:50:37
37.557935,127.051476,2024/08/24,02:50:39
37.557866,127.051508,2024/08/24,02:50:41
37.557786,127.051534,2024/08/24,02:50:43
37.557737,127.051538,2024/08/24,02:50:44
37.557667,127.051529,2024/08/24,02:50:45
37.557581,127.051523,2024/08/24,02:50:47
37.557518,127.051518,2024/08/24,02:50:49
37.557449,127.051515,2024/08/24,02:50:51
37.557416,127.051513,2024/08/24,02:50:52
37.557337,127.051507,2024/08/24,02:50:54
37.557228,127.051502,2024/08/24,02:50:56
37.557107,127.051491,2024/08/24,02:50:58
37.556993,127.051487,2024/08/24,02:51:00
37.556955,127.051487,2024/08/24,02:51:01
37.556914,127.051485,2024/08/24,02:51:02
37.556879,127.051486,2024/08/24,02:51:03
37.55681,127.05148,2024/08/24,02:51:05
37.556711,127.051471,2024/08/24,02:51:07
37.556605,127.05147,2024/08/24,02:51:09
37.556512,127.051464,2024/08/24,02:51:11
37.556412,127.051435,2024/08/24,02:51:13
37.556316,127.051406,2024/08/24,02:51:15
37.556273,127.051402,2024/08/24,02:51:16
37.55622,127.051428,2024/08/24,02:51:18
37.556196,127.051453,2024/08/24,02:51:19
37.556175,127.051541,2024/08/24,02:51:21
37.556159,127.051584,2024/08/24,02:51:22
37.556131,127.051687,2024/08/24,02:51:24
37.556104,127.051796,2024/08/24,02:51:26
37.556093,127.051914,2024/08/24,02:51:28
37.556079,127.051961,2024/08/24,02:51:29
37.556073,127.052007,2024/08/24,02:51:30
37.55606,127.052087,2024/08/24,02:51:32
37.556043,127.05217,2024/08/24,02:51:34
