x,y,d,t
37.56295,127.072395,2024/08/25,02:06:59
37.562979,127.07241,2024/08/25,02:07:01
37.562996,127.072418,2024/08/25,02:07:02
37.563025,127.07244,2024/08/25,02:07:04
37.563061,127.072469,2024/08/25,02:07:06
37.563108,127.0725,2024/08/25,02:07:08
37.563154,127.072512,2024/08/25,02:07:10
37.563178,127.072529,2024/08/25,02:07:11
37.563219,127.072562,2024/08/25,02:07:12
37.563264,127.07259,2024/08/25,02:07:14
37.563288,127.072603,2024/08/25,02:07:16
37.563334,127.072632,2024/08/25,02:07:18
37.56338,127.072645,2024/08/25,02:07:20
37.563403,127.072655,2024/08/25,02:07:21
37.563444,127.072685,2024/08/25,02:07:23
37.563468,127.072711,2024/08/25,02:07:25
37.563493,127.072744,2024/08/25,02:07:26
37.563524,127.072766,2024/08/25,02:07:29
37.563549,127.072781,2024/08/25,02:07:30
37.563599,127.072807,2024/08/25,02:07:31
37.563622,127.072824,2024/08/25,02:07:33
37.563641,127.072838,2024/08/25,02:07:34
37.563683,127.072859,2024/08/25,02:07:36
37.56373,127.07288,2024/08/25,02:07:38
37.563752,127.072888,2024/08/25,02:07:39
37.5638,127.072907,2024/08/25,02:07:41
37.563838,127.072926,2024/08/25,02:07:43
37.563854,127.072935,2024/08/25,02:07:44
37.563886,127.072954,2024/08/25,02:07:46
37.563898,127.072961,2024/08/25,02:07:47
37.563911,127.072967,2024/08/25,02:07:48
37.563929,127.072972,2024/08/25,02:07:49
37.563977,127.072992,2024/08/25,02:07:50
37.563996,127.073004,2024/08/25,02:07:51
37.56401,127.073013,2024/08/25,02:07:53
37.564046,127.073028,2024/08/25,02:07:55
37.564088,127.073031,2024/08/25,02:07:57
37.564123,127.073063,2024/08/25,02:07:59
37.564138,127.07308,2024/08/25,02:08:00
37.564173,127.073098,2024/08/25,02:08:02
37.5642,127.073114,2024/08/25,02:08:04
37.564235,127.073139,2024/08/25,02:08:05
37.564253,127.073148,2024/08/25,02:08:07
37.564283,127.073157,2024/08/25,02:08:09
37.564297,127.073169,2024/08/25,02:08:10
37.56433,127.073178,2024/08/25,02:08:12
