x,y,d,t
37.56742,127.059092,2024/08/29,23:08:40
37.567419,127.059139,2024/08/29,23:08:42
37.567419,127.059164,2024/08/29,23:08:43
37.567419,127.059188,2024/08/29,23:08:45
37.567419,127.059213,2024/08/29,23:08:46
37.56742,127.059245,2024/08/29,23:08:47
37.567437,127.059283,2024/08/29,23:08:48
37.56743,127.059349,2024/08/29,23:08:50
37.567422,127.059383,2024/08/29,23:08:52
37.567411,127.059425,2024/08/29,23:08:53
37.5674,127.059491,2024/08/29,23:08:55
37.567393,127.059519,2024/08/29,23:08:56
37.567379,127.059548,2024/08/29,23:08:57
37.567335,127.059553,2024/08/29,23:08:59
37.567296,127.059609,2024/08/29,23:09:01
37.567277,127.059676,2024/08/29,23:09:02
37.567262,127.0597,2024/08/29,23:09:04
37.567245,127.059792,2024/08/29,23:09:06
37.567238,127.059867,2024/08/29,23:09:08
37.567242,127.0599,2024/08/29,23:09:09
37.567243,127.059933,2024/08/29,23:09:10
37.567237,127.059991,2024/08/29,23:09:12
37.567235,127.060019,2024/08/29,23:09:13
37.567234,127.060048,2024/08/29,23:09:14
37.567232,127.060079,2024/08/29,23:09:15
37.567234,127.060138,2024/08/29,23:09:16
37.567231,127.060167,2024/08/29,23:09:18
37.567228,127.060221,2024/08/29,23:09:20
37.567227,127.060241,2024/08/29,23:09:21
37.567233,127.060268,2024/08/29,23:09:22
37.567232,127.060293,2024/08/29,23:09:23
37.567235,127.060347,2024/08/29,23:09:25
37.56725,127.060406,2024/08/29,23:09:27
37.567256,127.060438,2024/08/29,23:09:28
37.567268,127.060467,2024/08/29,23:09:29
37.567297,127.060524,2024/08/29,23:09:31
37.56734,127.060565,2024/08/29,23:09:33
37.567361,127.060579,2024/08/29,23:09:34
37.567413,127.060618,2024/08/29,23:09:36
37.567462,127.060652,2024/08/29,23:09:37
37.567504,127.060639,2024/08/29,23:09:39
37.567529,127.060624,2024/08/29,23:09:40
37.567559,127.060608,2024/08/29,23:09:41
37.567572,127.060604,2024/08/29,23:09:42
37.567584,127.060577,2024/08/29,23:09:44
37.567578,127.060585,2024/08/29,23:09:45
37.567612,127.060548,2024/08/29,23:09:47
37.567629,127.060505,2024/08/29,23:09:48
37.567655,127.060491,2024/08/29,23:09:49
37.56768,127.060478,2024/08/29,23:09:51
37.567732,127.060502,2024/08/29,23:09:53
37.567765,127.060499,2024/08/29,23:09:54
37.567829,127.060477,2024/08/29,23:09:56
