x,y,d,t
37.518394,127.122735,2024/08/25,08:51:00
37.518621,127.122654,2024/08/25,08:51:05
37.518385,127.122661,2024/08/25,08:51:10
37.51841,127.122956,2024/08/25,08:51:15
37.518258,127.123183,2024/08/25,08:51:20
37.518161,127.123453,2024/08/25,08:51:25
37.517932,127.123385,2024/08/25,08:51:30
37.518101,127.123591,2024/08/25,08:51:35
37.518307,127.123447,2024/08/25,08:51:40
37.518138,127.123653,2024/08/25,08:51:45
37.518193,127.123942,2024/08/25,08:51:50
37.518022,127.124146,2024/08/25,08:51:55
37.517806,127.124264,2024/08/25,08:52:00
37.518013,127.124123,2024/08/25,08:52:05
37.517952,127.124409,2024/08/25,08:52:10
37.517717,127.12443,2024/08/25,08:52:15
37.51778,127.124716,2024/08/25,08:52:20
37.517617,127.124502,2024/08/25,08:52:25
37.517397,127.124609,2024/08/25,08:52:30
37.517606,127.124747,2024/08/25,08:52:35
37.517714,127.125011,2024/08/25,08:52:40
37.517949,127.125012,2024/08/25,08:52:45
37.518168,127.124902,2024/08/25,08:52:50
37.518061,127.125167,2024/08/25,08:52:55
37.517901,127.125385,2024/08/25,08:53:00
37.517669,127.125432,2024/08/25,08:53:05
37.517434,127.125413,2024/08/25,08:53:10
37.517209,127.125327,2024/08/25,08:53:15
37.517442,127.125368,2024/08/25,08:53:20
37.517389,127.125657,2024/08/25,08:53:25
37.51762,127.125599,2024/08/25,08:53:30
37.517385,127.125587,2024/08/25,08:53:35
37.517157,127.125513,2024/08/25,08:53:40
37.517362,127.125366,2024/08/25,08:53:45
37.517281,127.125645,2024/08/25,08:53:50
37.517453,127.125848,2024/08/25,08:53:55
37.51732,127.126094,2024/08/25,08:54:00
37.517509,127.12627,2024/08/25,08:54:05
37.517523,127.125974,2024/08/25,08:54:10
37.517409,127.126233,2024/08/25,08:54:15
37.517396,127.126529,2024/08/25,08:54:20
37.517273,127.126782,2024/08/25,08:54:25
37.517397,127.127035,2024/08/25,08:54:30
37.51725,127.127267,2024/08/25,08:54:35
37.51727,127.127563,2024/08/25,08:54:40
37.517367,127.127292,2024/08/25,08:54:45
37.517135,127.127347,2024/08/25,08:54:50
37.516906,127.12728,2024/08/25,08:54:55
37.517121,127.1274,2024/08/25,08:55:00
37.517355,127.127365,2024/08/25,08:55:05
37.517199,127.127587,2024/08/25,08:55:10
37.517283,127.127865,2024/08/25,08:55:15
37.517082,127.128019,2024/08/25,08:55:20
37.517274,127.127848,2024/08/25,08:55:25
37.517427,127.127622,2024/08/25,08:55:30
37.517247,127.127432,2024/08/25,08:55:35
37.517441,127.127263,2024/08/25,08:55:40
37.517671,127.127323,2024/08/25,08:55:45
37.517727,127.127034,2024/08/25,08:55:50
37.517836,127.126771,2024/08/25,08:55:55
37.517891,127.126483,2024/08/25,08:56:00
37.517686,127.126336,2024/08/25,08:56:05
37.517833,127.126104,2024/08/25,08:56:10
37.518024,127.126279,2024/08/25,08:56:15
37.518092,127.125995,2024/08/25,08:56:20
37.518227,127.125751,2024/08/25,08:56:25
37.518072,127.125528,2024/08/25,08:56:30
37.517904,127.12532,2024/08/25,08:56:35
37.517813,127.125593,2024/08/25,08:56:40
37.517639,127.125794,2024/08/25,08:56:45
37.517561,127.125514,2024/08/25,08:56:50
37.517583,127.125219,2024/08/25,08:56:55
37.517797,127.125342,2024/08/25,08:57:00
37.517611,127.125524,2024/08/25,08:57:05
37.517645,127.12523,2024/08/25,08:57:10
37.517465,127.125038,2024/08/25,08:57:15
37.517338,127.125288,2024/08/25,08:57:20
37.517551,127.125162,2024/08/25,08:57:25
37.517566,127.124866,2024/08/25,08:57:30
37.517511,127.124578,2024/08/25,08:57:35
37.517505,127.124874,2024/08/25,08:57:40
37.517271,127.1249,2024/08/25,08:57:45
37.517041,127.124838,2024/08/25,08:57:50
37.517276,127.124821,2024/08/25,08:57:55
37.517127,127.124591,2024/08/25,08:58:00
37.51708,127.124882,2024/08/25,08:58:05
37.51708,127.124585,2024/08/25,08:58:10
37.516887,127.124414,2024/08/25,08:58:15
37.516801,127.124138,2024/08/25,08:58:20
37.517012,127.124008,2024/08/25,08:58:25
37.517207,127.123841,2024/08/25,08:58:30
37.516981,127.123759,2024/08/25,08:58:35
37.5169,127.124037,2024/08/25,08:58:40
37.517014,127.123777,2024/08/25,08:58:45
37.516903,127.124039,2024/08/25,08:58:50
37.516821,127.123761,2024/08/25,08:58:55
37.51699,127.123967,2024/08/25,08:59:00
37.516925,127.124253,2024/08/25,08:59:05
37.517,127.123971,2024/08/25,08:59:10
37.517221,127.124074,2024/08/25,08:59:15
37.517361,127.123835,2024/08/25,08:59:20
37.517575,127.123711,2024/08/25,08:59:25
37.517789,127.123589,2024/08/25,08:59:30
37.517914,127.123841,2024/08/25,08:59:35
37.517789,127.123589,2024/08/25,08:59:40
37.517637,127.123363,2024/08/25,08:59:45
37.517824,127.123182,2024/08/25,08:59:50
37.517637,127.123362,2024/08/25,08:59:55
37.51787,127.123327,2024/08/25,09:00:00
37.517946,127.123046,2024/08/25,09:00:05
37.517778,127.123254,2024/08/25,09:00:10
37.517595,127.123442,2024/08/25,09:00:15
37.51765,127.123731,2024/08/25,09:00:20
37.517822,127.123528,2024/08/25,09:00:25
37.518009,127.123708,2024/08/25,09:00:30
37.517813,127.123544,2024/08/25,09:00:35
37.518028,127.123665,2024/08/25,09:00:40
37.518112,127.123942,2024/08/25,09:00:45
37.518267,127.124165,2024/08/25,09:00:50
37.518173,127.123893,2024/08/25,09:00:55
37.51795,127.1238,2024/08/25,09:01:00
37.518157,127.123658,2024/08/25,09:01:05
37.518014,127.123894,2024/08/25,09:01:10
37.517823,127.123719,2024/08/25,09:01:15
37.517673,127.123491,2024/08/25,09:01:20
37.517753,127.12377,2024/08/25,09:01:25
37.517867,127.12403,2024/08/25,09:01:30
37.518097,127.124097,2024/08/25,09:01:35
37.518149,127.123808,2024/08/25,09:01:40
37.517947,127.12396,2024/08/25,09:01:45
37.518114,127.12417,2024/08/25,09:01:50
37.517895,127.124061,2024/08/25,09:01:55
37.517676,127.124169,2024/08/25,09:02:00
37.517559,127.124427,2024/08/25,09:02:05
37.517328,127.124368,2024/08/25,09:02:10
37.517493,127.124156,2024/08/25,09:02:15
37.517728,127.124127,2024/08/25,09:02:20
37.517939,127.124257,2024/08/25,09:02:25
37.517984,127.123966,2024/08/25,09:02:30
37.517882,127.124233,2024/08/25,09:02:35
37.5181,127.124122,2024/08/25,09:02:40
37.517941,127.123903,2024/08/25,09:02:45
37.517909,127.123608,2024/08/25,09:02:50
37.517675,127.123581,2024/08/25,09:02:55
37.517678,127.123284,2024/08/25,09:03:00
37.517604,127.123566,2024/08/25,09:03:05
37.51752,127.123289,2024/08/25,09:03:10
37.51769,127.123084,2024/08/25,09:03:15
37.517919,127.123016,2024/08/25,09:03:20
37.517957,127.122723,2024/08/25,09:03:25
37.517947,127.122427,2024/08/25,09:03:30
37.517715,127.122372,2024/08/25,09:03:35
37.517893,127.122176,2024/08/25,09:03:40
37.517806,127.122453,2024/08/25,09:03:45
37.517915,127.122716,2024/08/25,09:03:50
37.518123,127.122855,2024/08/25,09:03:55
37.518241,127.123112,2024/08/25,09:04:00
37.518101,127.123351,2024/08/25,09:04:05
37.51824,127.12359,2024/08/25,09:04:10
37.518154,127.123866,2024/08/25,09:04:15
37.518255,127.124134,2024/08/25,09:04:20
37.518118,127.123893,2024/08/25,09:04:25
37.518181,127.124179,2024/08/25,09:04:30
37.518247,127.124464,2024/08/25,09:04:35
37.518445,127.124304,2024/08/25,09:04:40
37.518406,127.124011,2024/08/25,09:04:45
37.518344,127.123725,2024/08/25,09:04:50
37.518546,127.123573,2024/08/25,09:04:55
37.518488,127.12386,2024/08/25,09:05:00
37.5185,127.124157,2024/08/25,09:05:05
37.518423,127.123876,2024/08/25,09:05:10
37.518595,127.12408,2024/08/25,09:05:15
37.518558,127.123786,2024/08/25,09:05:20
37.518323,127.123793,2024/08/25,09:05:25
37.518472,127.123564,2024/08/25,09:05:30
37.518639,127.123775,2024/08/25,09:05:35
37.518741,127.124042,2024/08/25,09:05:40
37.518954,127.124168,2024/08/25,09:05:45
37.519027,127.123885,2024/08/25,09:05:50
37.518829,127.124046,2024/08/25,09:05:55
37.518763,127.124331,2024/08/25,09:06:00
37.518868,127.124065,2024/08/25,09:06:05
37.518881,127.124361,2024/08/25,09:06:10
37.519015,127.124606,2024/08/25,09:06:15
37.518806,127.124742,2024/08/25,09:06:20
37.51899,127.124928,2024/08/25,09:06:25
37.519047,127.125216,2024/08/25,09:06:30
37.519162,127.125474,2024/08/25,09:06:35
37.519072,127.125201,2024/08/25,09:06:40
37.518935,127.124959,2024/08/25,09:06:45
37.518819,127.1247,2024/08/25,09:06:50
37.519054,127.124673,2024/08/25,09:06:55
37.518932,127.124927,2024/08/25,09:07:00
37.518713,127.125035,2024/08/25,09:07:05
37.518711,127.124738,2024/08/25,09:07:10
37.518706,127.125035,2024/08/25,09:07:15
37.518862,127.125257,2024/08/25,09:07:20
37.519081,127.125146,2024/08/25,09:07:25
37.519222,127.125384,2024/08/25,09:07:30
37.519003,127.125274,2024/08/25,09:07:35
37.518875,127.125523,2024/08/25,09:07:40
37.519026,127.125751,2024/08/25,09:07:45
37.519238,127.125881,2024/08/25,09:07:50
37.519088,127.125652,2024/08/25,09:07:55
37.519014,127.12537,2024/08/25,09:08:00
37.519241,127.125291,2024/08/25,09:08:05
37.519447,127.125147,2024/08/25,09:08:10
37.519551,127.125413,2024/08/25,09:08:15
37.519438,127.125674,2024/08/25,09:08:20
37.519581,127.125438,2024/08/25,09:08:25
37.519799,127.125325,2024/08/25,09:08:30
37.519976,127.125129,2024/08/25,09:08:35
37.520201,127.125215,2024/08/25,09:08:40
37.520436,127.125218,2024/08/25,09:08:45
37.520512,127.124936,2024/08/25,09:08:50
37.520302,127.125072,2024/08/25,09:08:55
37.520504,127.124919,2024/08/25,09:09:00
37.520739,127.124933,2024/08/25,09:09:05
37.520508,127.124874,2024/08/25,09:09:10
37.520274,127.124896,2024/08/25,09:09:15
37.520293,127.1246,2024/08/25,09:09:20
37.52038,127.124876,2024/08/25,09:09:25
37.520459,127.125156,2024/08/25,09:09:30
37.520229,127.125224,2024/08/25,09:09:35
37.520013,127.125108,2024/08/25,09:09:40
37.520046,127.124814,2024/08/25,09:09:45
37.520258,127.124943,2024/08/25,09:09:50
