x,y,d,t
37.568235,127.059941,2024/02/03,05:14:49
37.568235,127.059941,2024/02/03,05:14:50
37.568237,127.05994,2024/02/03,05:14:51
37.568239,127.059936,2024/02/03,05:14:52
37.568241,127.059932,2024/02/03,05:14:53
37.568244,127.059926,2024/02/03,05:14:54
37.568247,127.05992,2024/02/03,05:14:55
37.568251,127.059914,2024/02/03,05:14:56
37.568255,127.059908,2024/02/03,05:14:57
37.568258,127.0599,2024/02/03,05:14:58
37.56826,127.059891,2024/02/03,05:14:59
37.568263,127.059882,2024/02/03,05:15:00
37.568265,127.059875,2024/02/03,05:15:01
37.568268,127.059867,2024/02/03,05:15:02
37.568271,127.059859,2024/02/03,05:15:03
37.568274,127.05985,2024/02/03,05:15:04
37.568278,127.059844,2024/02/03,05:15:05
37.568282,127.059835,2024/02/03,05:15:06
37.568285,127.059827,2024/02/03,05:15:07
37.568288,127.059819,2024/02/03,05:15:08
37.568289,127.05981,2024/02/03,05:15:09
37.56829,127.059802,2024/02/03,05:15:10
37.568291,127.059794,2024/02/03,05:15:11
37.56829,127.059785,2024/02/03,05:15:12
37.568289,127.059777,2024/02/03,05:15:13
37.568289,127.05977,2024/02/03,05:15:14
37.568287,127.059763,2024/02/03,05:15:15
37.568283,127.059757,2024/02/03,05:15:16
37.56828,127.059751,2024/02/03,05:15:17
37.568277,127.059744,2024/02/03,05:15:18
37.568274,127.059737,2024/02/03,05:15:19
37.568271,127.059729,2024/02/03,05:15:20
37.568268,127.05972,2024/02/03,05:15:21
37.568266,127.05971,2024/02/03,05:15:22
37.568263,127.059702,2024/02/03,05:15:23
37.56826,127.059694,2024/02/03,05:15:24
37.568257,127.059686,2024/02/03,05:15:25
37.568255,127.059677,2024/02/03,05:15:26
37.568253,127.059668,2024/02/03,05:15:27
37.568249,127.059659,2024/02/03,05:15:28
37.568246,127.05965,2024/02/03,05:15:29
37.568242,127.059641,2024/02/03,05:15:30
37.568239,127.059633,2024/02/03,05:15:31
37.568237,127.059624,2024/02/03,05:15:32
37.568235,127.059615,2024/02/03,05:15:33
37.568232,127.059606,2024/02/03,05:15:34
37.568229,127.059596,2024/02/03,05:15:35
37.568225,127.059588,2024/02/03,05:15:36
37.568222,127.05958,2024/02/03,05:15:37
37.56822,127.059572,2024/02/03,05:15:38
