x,y,d,t
37.567184,127.060072,2024/02/13,11:15:35
37.567189,127.060082,2024/02/13,11:15:36
37.567193,127.060092,2024/02/13,11:15:37
37.567194,127.060102,2024/02/13,11:15:38
37.567194,127.060115,2024/02/13,11:15:39
37.567195,127.060131,2024/02/13,11:15:40
37.567195,127.060149,2024/02/13,11:15:41
37.5672,127.060169,2024/02/13,11:15:42
37.567202,127.060189,2024/02/13,11:15:43
37.567205,127.06021,2024/02/13,11:15:44
37.567209,127.060231,2024/02/13,11:15:45
37.567215,127.060254,2024/02/13,11:15:46
37.567221,127.060279,2024/02/13,11:15:47
37.567229,127.060305,2024/02/13,11:15:48
37.567238,127.060333,2024/02/13,11:15:49
37.567246,127.060361,2024/02/13,11:15:50
37.567257,127.060389,2024/02/13,11:15:51
37.567267,127.060418,2024/02/13,11:15:52
37.567277,127.060448,2024/02/13,11:15:53
37.567288,127.060477,2024/02/13,11:15:54
37.5673,127.060509,2024/02/13,11:15:55
37.567313,127.060538,2024/02/13,11:15:56
37.567331,127.060565,2024/02/13,11:15:57
37.567352,127.060586,2024/02/13,11:15:58
37.567372,127.060604,2024/02/13,11:15:59
37.567394,127.06062,2024/02/13,11:16:00
37.567416,127.060633,2024/02/13,11:16:01
37.567426,127.060646,2024/02/13,11:16:02
37.567439,127.060656,2024/02/13,11:16:03
37.567454,127.060664,2024/02/13,11:16:04
37.567472,127.06067,2024/02/13,11:16:05
37.567491,127.060674,2024/02/13,11:16:06
37.567511,127.060677,2024/02/13,11:16:07
37.567531,127.060678,2024/02/13,11:16:08
37.567554,127.060675,2024/02/13,11:16:09
37.56758,127.06067,2024/02/13,11:16:10
37.567611,127.060655,2024/02/13,11:16:11
37.567638,127.060644,2024/02/13,11:16:12
37.567659,127.060631,2024/02/13,11:16:13
37.567678,127.06062,2024/02/13,11:16:14
37.567694,127.060609,2024/02/13,11:16:15
37.567713,127.060601,2024/02/13,11:16:16
37.567729,127.060594,2024/02/13,11:16:17
37.567743,127.060587,2024/02/13,11:16:18
37.567758,127.060579,2024/02/13,11:16:19
37.56777,127.060566,2024/02/13,11:16:20
37.567792,127.060558,2024/02/13,11:16:21
37.567809,127.060548,2024/02/13,11:16:22
37.567829,127.060535,2024/02/13,11:16:23
37.567848,127.06052,2024/02/13,11:16:24
37.567861,127.060506,2024/02/13,11:16:25
37.567874,127.060492,2024/02/13,11:16:26
37.567885,127.060477,2024/02/13,11:16:27
37.5679,127.060463,2024/02/13,11:16:28
37.567916,127.060451,2024/02/13,11:16:29
37.567932,127.060439,2024/02/13,11:16:30
37.567952,127.060431,2024/02/13,11:16:31
37.567969,127.060421,2024/02/13,11:16:32
37.567986,127.060406,2024/02/13,11:16:33
37.568001,127.060389,2024/02/13,11:16:34
37.568013,127.06037,2024/02/13,11:16:35
37.568022,127.060344,2024/02/13,11:16:36
37.568031,127.06032,2024/02/13,11:16:37
37.568042,127.0603,2024/02/13,11:16:38
37.56805,127.060278,2024/02/13,11:16:39
37.568065,127.06026,2024/02/13,11:16:40
37.568075,127.060238,2024/02/13,11:16:41
37.568083,127.060215,2024/02/13,11:16:42
37.568088,127.060183,2024/02/13,11:16:43
37.568098,127.060159,2024/02/13,11:16:44
37.568131,127.060149,2024/02/13,11:16:45
37.568156,127.060135,2024/02/13,11:16:46
37.568175,127.06012,2024/02/13,11:16:47
37.568191,127.060104,2024/02/13,11:16:48
37.568203,127.060085,2024/02/13,11:16:49
37.568212,127.060065,2024/02/13,11:16:50
37.568219,127.060046,2024/02/13,11:16:51
37.568225,127.060029,2024/02/13,11:16:52
37.568232,127.060013,2024/02/13,11:16:53
37.568237,127.059997,2024/02/13,11:16:54
37.568232,127.059979,2024/02/13,11:16:55
37.56823,127.059955,2024/02/13,11:16:56
37.56823,127.05993,2024/02/13,11:16:57
37.568233,127.059903,2024/02/13,11:16:58
37.568235,127.059876,2024/02/13,11:16:59
37.568233,127.059851,2024/02/13,11:17:00
37.568229,127.059828,2024/02/13,11:17:01
37.568223,127.059804,2024/02/13,11:17:02
37.568218,127.059781,2024/02/13,11:17:03
37.568213,127.059756,2024/02/13,11:17:04
37.568212,127.05973,2024/02/13,11:17:05
37.568213,127.059703,2024/02/13,11:17:06
37.568215,127.059676,2024/02/13,11:17:07
37.568214,127.05965,2024/02/13,11:17:08
37.56821,127.059625,2024/02/13,11:17:09
37.568203,127.059601,2024/02/13,11:17:10
