x,y,d,t
39.988785,116.47491,2024/04/19,22:43:41
39.988642,116.474677,2024/04/19,22:43:43
39.988669,116.474691,2024/04/19,22:43:44
39.988674,116.474759,2024/04/19,22:43:45
39.988663,116.474726,2024/04/19,22:43:46
39.988668,116.474706,2024/04/19,22:43:47
39.988668,116.474654,2024/04/19,22:43:48
39.988659,116.474613,2024/04/19,22:43:49
39.988646,116.474576,2024/04/19,22:43:50
39.988637,116.474532,2024/04/19,22:43:51
39.988639,116.474519,2024/04/19,22:43:52
39.988628,116.474486,2024/04/19,22:43:53
39.988622,116.474474,2024/04/19,22:43:54
39.98861,116.474428,2024/04/19,22:43:55
39.988605,116.474411,2024/04/19,22:43:56
39.988597,116.474377,2024/04/19,22:43:57
39.988583,116.474343,2024/04/19,22:43:58
39.988577,116.474334,2024/04/19,22:43:59
39.988556,116.474295,2024/04/19,22:44:00
39.988547,116.474285,2024/04/19,22:44:01
39.988518,116.474259,2024/04/19,22:44:02
39.988508,116.47425,2024/04/19,22:44:03
39.988484,116.474215,2024/04/19,22:44:04
39.988462,116.474179,2024/04/19,22:44:05
39.988459,116.474167,2024/04/19,22:44:06
39.988456,116.474156,2024/04/19,22:44:07
39.988465,116.474144,2024/04/19,22:44:08
39.988469,116.474123,2024/04/19,22:44:09
39.988465,116.474111,2024/04/19,22:44:10
39.988466,116.474093,2024/04/19,22:44:11
39.988466,116.474079,2024/04/19,22:44:12
39.988465,116.474054,2024/04/19,22:44:13
39.988465,116.474043,2024/04/19,22:44:14
39.988465,116.474031,2024/04/19,22:44:15
39.988471,116.474037,2024/04/19,22:44:16
39.988472,116.47405,2024/04/19,22:44:17
39.988469,116.47406,2024/04/19,22:44:18
39.988468,116.474064,2024/04/19,22:44:19
39.988468,116.474065,2024/04/19,22:44:20
39.988471,116.474059,2024/04/19,22:44:21
39.988474,116.474055,2024/04/19,22:44:22
39.988477,116.474053,2024/04/19,22:44:23
39.98848,116.474053,2024/04/19,22:44:24
39.988483,116.474048,2024/04/19,22:44:25
39.988485,116.474048,2024/04/19,22:44:26
39.988491,116.47405,2024/04/19,22:44:27
39.988492,116.474051,2024/04/19,22:44:28
39.988492,116.474051,2024/04/19,22:44:29
39.988492,116.474051,2024/04/19,22:44:30
39.988492,116.474051,2024/04/19,22:44:31
39.988492,116.474051,2024/04/19,22:44:32
39.988492,116.474051,2024/04/19,22:44:33
39.988498,116.474048,2024/04/19,22:44:34
39.98851,116.474048,2024/04/19,22:44:35
39.988517,116.474047,2024/04/19,22:44:36
39.988521,116.474041,2024/04/19,22:44:37
39.988521,116.474046,2024/04/19,22:44:38
39.988518,116.474055,2024/04/19,22:44:39
39.988513,116.474066,2024/04/19,22:44:40
39.988514,116.474078,2024/04/19,22:44:41
39.988511,116.474086,2024/04/19,22:44:42
39.988511,116.474084,2024/04/19,22:44:43
39.988515,116.474084,2024/04/19,22:44:44
39.988516,116.474083,2024/04/19,22:44:45
39.988516,116.474079,2024/04/19,22:44:46
39.988516,116.474078,2024/04/19,22:44:47
39.988516,116.474078,2024/04/19,22:44:48
39.988516,116.474078,2024/04/19,22:44:49
39.988512,116.474065,2024/04/19,22:44:50
39.988513,116.474058,2024/04/19,22:44:51
39.988517,116.474054,2024/04/19,22:44:52
39.988522,116.474051,2024/04/19,22:44:53
39.988527,116.47405,2024/04/19,22:44:54
39.988528,116.474054,2024/04/19,22:44:55
39.988528,116.474054,2024/04/19,22:44:56
39.988535,116.474051,2024/04/19,22:44:57
39.988542,116.474042,2024/04/19,22:44:58
39.988542,116.47404,2024/04/19,22:44:59
39.988543,116.474038,2024/04/19,22:45:00
39.988543,116.474037,2024/04/19,22:45:01
39.988544,116.474035,2024/04/19,22:45:02
39.988545,116.474034,2024/04/19,22:45:03
39.988545,116.474032,2024/04/19,22:45:04
39.988546,116.47403,2024/04/19,22:45:05
39.988546,116.474029,2024/04/19,22:45:06
39.988547,116.474027,2024/04/19,22:45:07
39.988547,116.474025,2024/04/19,22:45:08
39.988548,116.474024,2024/04/19,22:45:09
39.988549,116.474022,2024/04/19,22:45:10
39.988549,116.474021,2024/04/19,22:45:11
39.98855,116.474019,2024/04/19,22:45:12
39.98855,116.474017,2024/04/19,22:45:13
39.988551,116.474016,2024/04/19,22:45:14
39.988552,116.474014,2024/04/19,22:45:15
39.988552,116.474013,2024/04/19,22:45:16
39.988553,116.474011,2024/04/19,22:45:17
39.988553,116.474009,2024/04/19,22:45:18
39.988554,116.474008,2024/04/19,22:45:19
39.988554,116.474006,2024/04/19,22:45:20
39.988555,116.474004,2024/04/19,22:45:21
39.988556,116.474003,2024/04/19,22:45:22
39.988576,116.473975,2024/04/19,22:45:23
39.988584,116.473964,2024/04/19,22:45:24
39.988609,116.473927,2024/04/19,22:45:25
39.988617,116.473913,2024/04/19,22:45:26
39.988644,116.473873,2024/04/19,22:45:27
39.988653,116.47386,2024/04/19,22:45:28
39.98867,116.473831,2024/04/19,22:45:29
39.988695,116.47379,2024/04/19,22:45:30
39.988703,116.473776,2024/04/19,22:45:31
39.988721,116.47374,2024/04/19,22:45:32
39.988743,116.473705,2024/04/19,22:45:33
39.988763,116.473672,2024/04/19,22:45:34
39.988783,116.473639,2024/04/19,22:45:35
39.988804,116.473605,2024/04/19,22:45:36
39.98883,116.473573,2024/04/19,22:45:37
39.988851,116.473542,2024/04/19,22:45:38
39.98887,116.473506,2024/04/19,22:45:39
39.988874,116.473496,2024/04/19,22:45:40
39.988893,116.473462,2024/04/19,22:45:41
39.988898,116.473449,2024/04/19,22:45:42
39.988912,116.473418,2024/04/19,22:45:43
39.988939,116.473388,2024/04/19,22:45:44
39.988948,116.473379,2024/04/19,22:45:45
39.988973,116.473347,2024/04/19,22:45:46
39.988981,116.473334,2024/04/19,22:45:47
39.988998,116.473291,2024/04/19,22:45:48
39.989003,116.473276,2024/04/19,22:45:49
39.989021,116.473229,2024/04/19,22:45:50
39.989028,116.473215,2024/04/19,22:45:51
39.989049,116.473183,2024/04/19,22:45:52
39.989057,116.473171,2024/04/19,22:45:53
39.989084,116.473136,2024/04/19,22:45:54
39.989093,116.473125,2024/04/19,22:45:55
39.989117,116.473095,2024/04/19,22:45:56
39.989123,116.473084,2024/04/19,22:45:57
39.989133,116.473064,2024/04/19,22:45:58
39.989144,116.473047,2024/04/19,22:45:59
39.98916,116.473008,2024/04/19,22:46:00
39.989166,116.472996,2024/04/19,22:46:01
39.989189,116.472968,2024/04/19,22:46:02
39.989197,116.472958,2024/04/19,22:46:03
39.98921,116.472942,2024/04/19,22:46:04
39.98922,116.472923,2024/04/19,22:46:05
39.989242,116.472891,2024/04/19,22:46:06
39.989249,116.472877,2024/04/19,22:46:07
