x,y,d,t
37.567257,127.061728,2024/05/06,00:59:45
37.567257,127.061728,2024/05/06,00:59:52
37.567254,127.061731,2024/05/06,00:59:53
37.567262,127.061731,2024/05/06,00:59:54
37.567269,127.061742,2024/05/06,00:59:55
37.567273,127.061754,2024/05/06,00:59:56
37.567275,127.061766,2024/05/06,00:59:57
37.567273,127.061782,2024/05/06,00:59:58
37.567272,127.0618,2024/05/06,00:59:59
37.56727,127.061819,2024/05/06,01:00:00
37.567257,127.061832,2024/05/06,01:00:01
37.567246,127.061854,2024/05/06,01:00:02
37.567235,127.06187,2024/05/06,01:00:03
37.567224,127.06188,2024/05/06,01:00:04
37.567214,127.061889,2024/05/06,01:00:05
37.567208,127.061901,2024/05/06,01:00:06
37.567202,127.061914,2024/05/06,01:00:07
37.567196,127.061926,2024/05/06,01:00:08
37.567188,127.061937,2024/05/06,01:00:09
37.567177,127.061949,2024/05/06,01:00:10
37.567167,127.061959,2024/05/06,01:00:11
37.567156,127.061968,2024/05/06,01:00:12
37.567143,127.061971,2024/05/06,01:00:13
37.567128,127.061973,2024/05/06,01:00:14
37.56712,127.061968,2024/05/06,01:00:15
37.567114,127.061964,2024/05/06,01:00:16
37.567109,127.061963,2024/05/06,01:00:17
37.567104,127.061962,2024/05/06,01:00:18
37.567093,127.061977,2024/05/06,01:00:19
37.567081,127.061983,2024/05/06,01:00:20
37.567072,127.061987,2024/05/06,01:00:21
37.567065,127.061994,2024/05/06,01:00:22
37.567053,127.062001,2024/05/06,01:00:23
37.567039,127.062007,2024/05/06,01:00:24
37.567022,127.062012,2024/05/06,01:00:25
37.56701,127.06202,2024/05/06,01:00:26
37.566998,127.062028,2024/05/06,01:00:27
37.566989,127.062052,2024/05/06,01:00:28
37.566979,127.062069,2024/05/06,01:00:29
37.566966,127.062081,2024/05/06,01:00:30
37.56695,127.062084,2024/05/06,01:00:31
37.566936,127.062088,2024/05/06,01:00:32
37.566926,127.062095,2024/05/06,01:00:33
37.56692,127.062104,2024/05/06,01:00:34
37.566915,127.062109,2024/05/06,01:00:35
37.566915,127.062115,2024/05/06,01:00:36
37.566918,127.062124,2024/05/06,01:00:37
37.566921,127.06213,2024/05/06,01:00:38
37.566923,127.062135,2024/05/06,01:00:39
37.566924,127.062137,2024/05/06,01:00:40
37.566926,127.062138,2024/05/06,01:00:41
37.566927,127.062139,2024/05/06,01:00:42
37.566937,127.062139,2024/05/06,01:00:43
37.566938,127.062134,2024/05/06,01:00:44
37.566936,127.062132,2024/05/06,01:00:45
37.566932,127.062132,2024/05/06,01:00:46
37.566924,127.062138,2024/05/06,01:00:47
37.566915,127.062149,2024/05/06,01:00:48
37.566905,127.062162,2024/05/06,01:00:49
37.566896,127.062174,2024/05/06,01:00:50
37.566886,127.062185,2024/05/06,01:00:51
37.566878,127.062196,2024/05/06,01:00:52
37.566871,127.062206,2024/05/06,01:00:53
37.566866,127.062215,2024/05/06,01:00:54
37.566859,127.062224,2024/05/06,01:00:55
37.566854,127.062232,2024/05/06,01:00:56
37.566847,127.06224,2024/05/06,01:00:57
37.566841,127.06225,2024/05/06,01:00:58
37.566837,127.062255,2024/05/06,01:00:59
37.566833,127.062265,2024/05/06,01:01:00
37.566829,127.062275,2024/05/06,01:01:01
37.566825,127.062285,2024/05/06,01:01:02
37.566819,127.062295,2024/05/06,01:01:03
37.566814,127.062306,2024/05/06,01:01:04
37.566808,127.062316,2024/05/06,01:01:05
37.566802,127.062326,2024/05/06,01:01:06
37.566795,127.062335,2024/05/06,01:01:07
37.566789,127.062344,2024/05/06,01:01:08
37.566782,127.062356,2024/05/06,01:01:09
37.566772,127.062362,2024/05/06,01:01:10
37.566761,127.062371,2024/05/06,01:01:11
37.566752,127.06238,2024/05/06,01:01:12
37.566745,127.062392,2024/05/06,01:01:13
37.56674,127.062406,2024/05/06,01:01:14
37.566738,127.062419,2024/05/06,01:01:15
37.566735,127.062432,2024/05/06,01:01:16
37.566731,127.062446,2024/05/06,01:01:17
37.566726,127.062459,2024/05/06,01:01:18
37.566722,127.062472,2024/05/06,01:01:19
37.566718,127.062486,2024/05/06,01:01:20
37.566714,127.062501,2024/05/06,01:01:21
37.56671,127.062516,2024/05/06,01:01:22
37.566705,127.06253,2024/05/06,01:01:23
37.566698,127.062544,2024/05/06,01:01:24
37.566691,127.062557,2024/05/06,01:01:25
37.56668,127.062569,2024/05/06,01:01:26
37.566666,127.062579,2024/05/06,01:01:27
37.566652,127.062587,2024/05/06,01:01:28
37.566639,127.062596,2024/05/06,01:01:29
37.566629,127.062608,2024/05/06,01:01:30
37.566623,127.062624,2024/05/06,01:01:31
37.566616,127.062639,2024/05/06,01:01:32
37.566608,127.062653,2024/05/06,01:01:33
37.566596,127.062663,2024/05/06,01:01:34
37.566582,127.062672,2024/05/06,01:01:35
37.566568,127.062681,2024/05/06,01:01:36
37.566556,127.062689,2024/05/06,01:01:37
37.566545,127.062696,2024/05/06,01:01:38
37.566535,127.062699,2024/05/06,01:01:39
37.566525,127.062705,2024/05/06,01:01:40
37.566515,127.062712,2024/05/06,01:01:41
37.566505,127.06272,2024/05/06,01:01:42
37.566495,127.062729,2024/05/06,01:01:43
37.566486,127.062737,2024/05/06,01:01:44
37.566478,127.062745,2024/05/06,01:01:45
37.56647,127.062754,2024/05/06,01:01:46
37.56646,127.062761,2024/05/06,01:01:47
37.56645,127.062766,2024/05/06,01:01:48
37.56644,127.062772,2024/05/06,01:01:49
37.566428,127.062779,2024/05/06,01:01:50
37.566418,127.062781,2024/05/06,01:01:51
37.566408,127.062784,2024/05/06,01:01:52
37.566398,127.062786,2024/05/06,01:01:53
37.566387,127.06279,2024/05/06,01:01:54
37.566375,127.062793,2024/05/06,01:01:55
37.566362,127.062793,2024/05/06,01:01:56
37.566351,127.062793,2024/05/06,01:01:57
37.566342,127.062788,2024/05/06,01:01:58
37.566333,127.062783,2024/05/06,01:01:59
37.566325,127.062775,2024/05/06,01:02:00
37.566318,127.062766,2024/05/06,01:02:01
