x,y,d,t
37.562118,127.071891,2024/05/06,01:51:09
37.562123,127.071901,2024/05/06,01:51:10
37.562135,127.071909,2024/05/06,01:51:12
37.562143,127.071912,2024/05/06,01:51:13
37.56215,127.071912,2024/05/06,01:51:14
37.562164,127.071919,2024/05/06,01:51:15
37.562177,127.071925,2024/05/06,01:51:16
37.562194,127.071932,2024/05/06,01:51:17
37.56221,127.071942,2024/05/06,01:51:18
37.562227,127.071954,2024/05/06,01:51:19
37.562244,127.071966,2024/05/06,01:51:20
37.56226,127.071976,2024/05/06,01:51:21
37.562278,127.071983,2024/05/06,01:51:22
37.562298,127.07199,2024/05/06,01:51:23
37.562318,127.071998,2024/05/06,01:51:24
37.56234,127.072006,2024/05/06,01:51:25
37.562359,127.072017,2024/05/06,01:51:26
37.562378,127.07203,2024/05/06,01:51:27
37.562393,127.072045,2024/05/06,01:51:28
37.562406,127.07206,2024/05/06,01:51:29
37.562422,127.072077,2024/05/06,01:51:30
37.562439,127.072092,2024/05/06,01:51:31
37.562456,127.072106,2024/05/06,01:51:32
37.562475,127.072114,2024/05/06,01:51:33
37.562489,127.072124,2024/05/06,01:51:34
37.562503,127.072131,2024/05/06,01:51:35
37.562516,127.072139,2024/05/06,01:51:36
37.562532,127.072149,2024/05/06,01:51:37
37.56255,127.072163,2024/05/06,01:51:38
37.56257,127.07218,2024/05/06,01:51:39
37.56259,127.072196,2024/05/06,01:51:40
37.562613,127.07221,2024/05/06,01:51:41
37.562635,127.072224,2024/05/06,01:51:42
37.562655,127.072236,2024/05/06,01:51:43
37.562675,127.072247,2024/05/06,01:51:44
37.562695,127.072257,2024/05/06,01:51:45
37.562717,127.072268,2024/05/06,01:51:46
37.562738,127.072276,2024/05/06,01:51:47
37.562761,127.072284,2024/05/06,01:51:48
37.562784,127.072294,2024/05/06,01:51:49
37.562806,127.072306,2024/05/06,01:51:50
37.562826,127.072318,2024/05/06,01:51:51
37.562847,127.07233,2024/05/06,01:51:52
37.562867,127.072346,2024/05/06,01:51:53
37.562887,127.07236,2024/05/06,01:51:54
37.562904,127.072371,2024/05/06,01:51:55
37.562919,127.07238,2024/05/06,01:51:56
37.562939,127.072388,2024/05/06,01:51:57
37.562959,127.072394,2024/05/06,01:51:58
37.562983,127.072399,2024/05/06,01:51:59
37.563006,127.072405,2024/05/06,01:52:00
37.563026,127.072414,2024/05/06,01:52:01
37.563044,127.072427,2024/05/06,01:52:02
37.563061,127.072442,2024/05/06,01:52:03
37.563079,127.072458,2024/05/06,01:52:04
37.563097,127.072473,2024/05/06,01:52:05
37.563114,127.072482,2024/05/06,01:52:06
37.563127,127.07249,2024/05/06,01:52:07
37.563143,127.072498,2024/05/06,01:52:08
37.563159,127.072509,2024/05/06,01:52:09
37.563176,127.072518,2024/05/06,01:52:10
37.563196,127.072528,2024/05/06,01:52:11
37.563214,127.072536,2024/05/06,01:52:12
37.563231,127.072547,2024/05/06,01:52:13
37.56325,127.072559,2024/05/06,01:52:14
37.563269,127.07257,2024/05/06,01:52:15
37.563291,127.072583,2024/05/06,01:52:16
37.563314,127.072596,2024/05/06,01:52:17
37.563336,127.072609,2024/05/06,01:52:18
37.563355,127.072622,2024/05/06,01:52:19
37.563374,127.072634,2024/05/06,01:52:20
37.563394,127.07265,2024/05/06,01:52:21
37.563413,127.072665,2024/05/06,01:52:22
37.563434,127.072675,2024/05/06,01:52:23
37.563455,127.072684,2024/05/06,01:52:24
37.563476,127.072692,2024/05/06,01:52:25
37.563495,127.072701,2024/05/06,01:52:26
37.563513,127.07271,2024/05/06,01:52:27
37.563533,127.07272,2024/05/06,01:52:28
37.563551,127.07273,2024/05/06,01:52:29
37.563569,127.072741,2024/05/06,01:52:30
37.563588,127.07275,2024/05/06,01:52:31
37.563609,127.07276,2024/05/06,01:52:32
37.56363,127.072772,2024/05/06,01:52:33
37.56365,127.072786,2024/05/06,01:52:34
37.563672,127.072799,2024/05/06,01:52:35
37.563692,127.07281,2024/05/06,01:52:36
37.563712,127.072823,2024/05/06,01:52:37
37.563731,127.072834,2024/05/06,01:52:38
37.563751,127.072844,2024/05/06,01:52:39
37.563769,127.072853,2024/05/06,01:52:40
37.563787,127.072865,2024/05/06,01:52:41
37.563807,127.072873,2024/05/06,01:52:42
37.563826,127.072884,2024/05/06,01:52:43
37.563848,127.072895,2024/05/06,01:52:44
37.563867,127.072905,2024/05/06,01:52:45
37.563885,127.072913,2024/05/06,01:52:46
37.563901,127.072921,2024/05/06,01:52:47
37.563917,127.072928,2024/05/06,01:52:48
37.563934,127.072934,2024/05/06,01:52:49
37.563953,127.07294,2024/05/06,01:52:50
37.563972,127.072944,2024/05/06,01:52:51
37.563987,127.07295,2024/05/06,01:52:52
37.564001,127.07296,2024/05/06,01:52:53
37.564016,127.072965,2024/05/06,01:52:54
37.564032,127.072977,2024/05/06,01:52:55
37.564051,127.072991,2024/05/06,01:52:56
37.564069,127.073006,2024/05/06,01:52:57
37.564088,127.07302,2024/05/06,01:52:58
37.564106,127.073033,2024/05/06,01:52:59
37.564127,127.073046,2024/05/06,01:53:00
37.564145,127.07306,2024/05/06,01:53:01
37.564162,127.073077,2024/05/06,01:53:02
37.564179,127.073092,2024/05/06,01:53:03
