x,y,d,t
37.560528,127.071702,2024/05/17,12:57:15
37.560528,127.071702,2024/05/17,12:57:21
37.560529,127.071698,2024/05/17,12:57:22
37.560526,127.071691,2024/05/17,12:57:23
37.56052,127.071681,2024/05/17,12:57:24
37.560511,127.071671,2024/05/17,12:57:25
37.560497,127.071669,2024/05/17,12:57:26
37.56048,127.071661,2024/05/17,12:57:27
37.560465,127.071653,2024/05/17,12:57:28
37.560452,127.071645,2024/05/17,12:57:29
37.560438,127.071637,2024/05/17,12:57:30
37.560426,127.071628,2024/05/17,12:57:31
37.560415,127.071619,2024/05/17,12:57:32
37.560402,127.07161,2024/05/17,12:57:33
37.560387,127.071603,2024/05/17,12:57:34
37.560371,127.071599,2024/05/17,12:57:35
37.560357,127.071597,2024/05/17,12:57:36
37.560341,127.071596,2024/05/17,12:57:37
37.560327,127.071595,2024/05/17,12:57:38
37.560312,127.071593,2024/05/17,12:57:39
37.560296,127.071588,2024/05/17,12:57:40
37.56028,127.071578,2024/05/17,12:57:41
37.560266,127.071564,2024/05/17,12:57:42
37.560252,127.071545,2024/05/17,12:57:43
37.560239,127.071524,2024/05/17,12:57:44
37.560224,127.071502,2024/05/17,12:57:45
37.560204,127.071463,2024/05/17,12:57:46
37.560186,127.071427,2024/05/17,12:57:47
37.560167,127.071398,2024/05/17,12:57:48
37.560148,127.071373,2024/05/17,12:57:49
37.560128,127.07135,2024/05/17,12:57:50
37.56011,127.071328,2024/05/17,12:57:51
37.560093,127.07131,2024/05/17,12:57:52
37.560077,127.071296,2024/05/17,12:57:53
37.560064,127.071281,2024/05/17,12:57:54
37.560052,127.071267,2024/05/17,12:57:55
37.560041,127.071253,2024/05/17,12:57:56
37.560031,127.071239,2024/05/17,12:57:57
37.560021,127.071226,2024/05/17,12:57:58
37.56001,127.071211,2024/05/17,12:57:59
37.560007,127.071198,2024/05/17,12:58:00
37.560001,127.071185,2024/05/17,12:58:01
37.559993,127.071171,2024/05/17,12:58:02
37.559983,127.071158,2024/05/17,12:58:03
37.559972,127.071143,2024/05/17,12:58:04
37.559959,127.071128,2024/05/17,12:58:05
37.559945,127.071113,2024/05/17,12:58:06
37.55993,127.071117,2024/05/17,12:58:07
37.559915,127.071114,2024/05/17,12:58:08
37.5599,127.071107,2024/05/17,12:58:09
37.559885,127.071099,2024/05/17,12:58:10
37.559869,127.07109,2024/05/17,12:58:11
37.559854,127.071078,2024/05/17,12:58:12
37.559836,127.07106,2024/05/17,12:58:13
37.55982,127.071044,2024/05/17,12:58:14
37.559802,127.07103,2024/05/17,12:58:15
37.559784,127.071016,2024/05/17,12:58:16
37.559768,127.071001,2024/05/17,12:58:17
37.559753,127.070986,2024/05/17,12:58:18
37.55974,127.070968,2024/05/17,12:58:19
37.559724,127.070949,2024/05/17,12:58:20
37.559708,127.070929,2024/05/17,12:58:21
37.559691,127.070909,2024/05/17,12:58:22
37.559674,127.07089,2024/05/17,12:58:23
37.559657,127.070872,2024/05/17,12:58:24
37.559639,127.070855,2024/05/17,12:58:25
37.559623,127.070836,2024/05/17,12:58:26
37.559608,127.070817,2024/05/17,12:58:27
37.559593,127.070798,2024/05/17,12:58:28
37.559578,127.070779,2024/05/17,12:58:29
37.559563,127.070759,2024/05/17,12:58:30
37.559548,127.07074,2024/05/17,12:58:31
37.559531,127.070721,2024/05/17,12:58:32
37.559515,127.070701,2024/05/17,12:58:33
37.559498,127.07068,2024/05/17,12:58:34
37.559481,127.07066,2024/05/17,12:58:35
37.559465,127.070638,2024/05/17,12:58:36
37.559445,127.070618,2024/05/17,12:58:37
37.559427,127.070598,2024/05/17,12:58:38
37.559407,127.070578,2024/05/17,12:58:39
37.559389,127.070557,2024/05/17,12:58:40
37.55937,127.070536,2024/05/17,12:58:41
37.559352,127.070516,2024/05/17,12:58:42
37.559334,127.070494,2024/05/17,12:58:43
37.559316,127.070473,2024/05/17,12:58:44
37.559298,127.070452,2024/05/17,12:58:45
37.559282,127.070433,2024/05/17,12:58:46
37.559266,127.070414,2024/05/17,12:58:47
37.55925,127.070396,2024/05/17,12:58:48
37.559232,127.070377,2024/05/17,12:58:49
37.559215,127.070359,2024/05/17,12:58:50
37.559196,127.070342,2024/05/17,12:58:51
37.559175,127.070325,2024/05/17,12:58:52
37.559156,127.070309,2024/05/17,12:58:53
37.559137,127.070291,2024/05/17,12:58:54
37.559115,127.070284,2024/05/17,12:58:55
37.559094,127.070275,2024/05/17,12:58:56
37.559073,127.070262,2024/05/17,12:58:57
37.559054,127.070246,2024/05/17,12:58:58
37.559036,127.070228,2024/05/17,12:58:59
37.559015,127.070209,2024/05/17,12:59:00
37.558995,127.070188,2024/05/17,12:59:01
37.558977,127.070167,2024/05/17,12:59:02
37.55896,127.070146,2024/05/17,12:59:03
37.558943,127.070129,2024/05/17,12:59:04
37.558925,127.070111,2024/05/17,12:59:05
37.558906,127.070091,2024/05/17,12:59:06
37.558888,127.070071,2024/05/17,12:59:07
37.55887,127.070051,2024/05/17,12:59:08
37.558852,127.070031,2024/05/17,12:59:09
37.558832,127.070011,2024/05/17,12:59:10
37.558813,127.069993,2024/05/17,12:59:11
37.558794,127.069974,2024/05/17,12:59:12
37.558776,127.069953,2024/05/17,12:59:13
37.558756,127.069932,2024/05/17,12:59:14
37.558735,127.069911,2024/05/17,12:59:15
37.558715,127.069891,2024/05/17,12:59:16
37.558694,127.06987,2024/05/17,12:59:17
37.558673,127.069849,2024/05/17,12:59:18
37.558652,127.069828,2024/05/17,12:59:19
37.55863,127.069807,2024/05/17,12:59:20
37.55861,127.069786,2024/05/17,12:59:21
37.558591,127.069765,2024/05/17,12:59:22
37.558573,127.069746,2024/05/17,12:59:23
37.558554,127.069726,2024/05/17,12:59:24
37.558535,127.069705,2024/05/17,12:59:25
37.558516,127.069683,2024/05/17,12:59:26
37.558497,127.069664,2024/05/17,12:59:27
37.558478,127.069644,2024/05/17,12:59:28
37.558459,127.069626,2024/05/17,12:59:29
37.558441,127.069608,2024/05/17,12:59:30
37.558423,127.06959,2024/05/17,12:59:31
37.558406,127.069571,2024/05/17,12:59:32
37.558388,127.069554,2024/05/17,12:59:33
37.55837,127.069536,2024/05/17,12:59:34
37.55835,127.069518,2024/05/17,12:59:35
37.558329,127.069498,2024/05/17,12:59:36
37.558309,127.069478,2024/05/17,12:59:37
37.55829,127.069456,2024/05/17,12:59:38
