x,y,d,t
35.671114,139.769527,2024/06/15,14:01:39
35.671116,139.769529,2024/06/15,14:01:40
35.67112,139.769532,2024/06/15,14:01:41
35.671122,139.769509,2024/06/15,14:01:42
35.671123,139.769502,2024/06/15,14:01:44
35.671117,139.769511,2024/06/15,14:01:45
35.671117,139.769512,2024/06/15,14:01:46
35.671117,139.769514,2024/06/15,14:01:48
35.671118,139.769514,2024/06/15,14:01:49
35.67112,139.769515,2024/06/15,14:01:50
35.671123,139.769517,2024/06/15,14:01:52
35.671129,139.769519,2024/06/15,14:01:53
35.671138,139.76952,2024/06/15,14:01:54
35.671146,139.769518,2024/06/15,14:01:55
35.671166,139.769521,2024/06/15,14:01:56
35.671174,139.769522,2024/06/15,14:01:57
35.671182,139.769523,2024/06/15,14:01:58
35.671187,139.769522,2024/06/15,14:01:59
35.671194,139.76952,2024/06/15,14:02:00
35.6712,139.769519,2024/06/15,14:02:02
35.671208,139.769516,2024/06/15,14:02:03
35.671216,139.769513,2024/06/15,14:02:04
35.671204,139.769489,2024/06/15,14:02:05
35.671211,139.769478,2024/06/15,14:02:07
35.671239,139.769451,2024/06/15,14:02:08
35.671247,139.769447,2024/06/15,14:02:09
35.671257,139.769437,2024/06/15,14:02:10
35.671265,139.769427,2024/06/15,14:02:11
35.671275,139.769416,2024/06/15,14:02:12
35.671291,139.7694,2024/06/15,14:02:14
35.671293,139.769356,2024/06/15,14:02:15
35.671305,139.76933,2024/06/15,14:02:16
35.671314,139.769319,2024/06/15,14:02:17
35.671322,139.769308,2024/06/15,14:02:18
35.671328,139.769299,2024/06/15,14:02:19
35.671341,139.76928,2024/06/15,14:02:21
35.671351,139.769268,2024/06/15,14:02:22
35.671362,139.769252,2024/06/15,14:02:24
35.671351,139.769219,2024/06/15,14:02:25
35.671353,139.769207,2024/06/15,14:02:26
35.671355,139.769198,2024/06/15,14:02:27
35.671361,139.769183,2024/06/15,14:02:28
35.671371,139.769161,2024/06/15,14:02:30
35.671377,139.769148,2024/06/15,14:02:32
35.671384,139.769129,2024/06/15,14:02:33
35.671387,139.769116,2024/06/15,14:02:34
