x,y,d,t
37.553692,127.12294,2024/07/07,02:10:40
37.553692,127.122933,2024/07/07,02:10:40
37.553693,127.122927,2024/07/07,02:10:41
37.553694,127.122916,2024/07/07,02:10:42
37.553687,127.122884,2024/07/07,02:10:43
37.553679,127.122853,2024/07/07,02:10:44
37.553667,127.122821,2024/07/07,02:10:45
37.553659,127.122793,2024/07/07,02:10:47
37.553654,127.122773,2024/07/07,02:10:48
37.553652,127.122761,2024/07/07,02:10:49
37.553651,127.122756,2024/07/07,02:10:50
37.553653,127.122766,2024/07/07,02:10:51
37.553652,127.122776,2024/07/07,02:10:52
37.553654,127.122782,2024/07/07,02:10:53
37.553654,127.122787,2024/07/07,02:10:54
37.553651,127.122796,2024/07/07,02:10:55
37.553645,127.122801,2024/07/07,02:10:56
37.553638,127.122803,2024/07/07,02:10:57
37.553631,127.122801,2024/07/07,02:10:58
37.553624,127.122799,2024/07/07,02:10:59
37.553619,127.122798,2024/07/07,02:11:00
37.553612,127.122796,2024/07/07,02:11:01
37.553605,127.122793,2024/07/07,02:11:02
37.553597,127.122789,2024/07/07,02:11:03
37.553588,127.122782,2024/07/07,02:11:04
37.55358,127.122775,2024/07/07,02:11:05
37.553571,127.122769,2024/07/07,02:11:06
37.553555,127.122765,2024/07/07,02:11:07
37.553538,127.122764,2024/07/07,02:11:08
37.553523,127.122764,2024/07/07,02:11:09
37.553507,127.122761,2024/07/07,02:11:10
37.553492,127.122754,2024/07/07,02:11:11
37.553478,127.122747,2024/07/07,02:11:12
37.553462,127.122741,2024/07/07,02:11:13
37.553446,127.122734,2024/07/07,02:11:14
37.553429,127.122729,2024/07/07,02:11:15
37.553414,127.122721,2024/07/07,02:11:16
37.553397,127.122712,2024/07/07,02:11:17
37.55338,127.122703,2024/07/07,02:11:18
37.553363,127.122695,2024/07/07,02:11:19
37.553344,127.122688,2024/07/07,02:11:20
37.553326,127.12268,2024/07/07,02:11:21
37.553306,127.122673,2024/07/07,02:11:22
37.553285,127.122665,2024/07/07,02:11:23
37.553264,127.122656,2024/07/07,02:11:24
37.553251,127.122638,2024/07/07,02:11:25
37.553234,127.122622,2024/07/07,02:11:26
37.553212,127.122616,2024/07/07,02:11:27
37.553191,127.122612,2024/07/07,02:11:28
37.553168,127.122609,2024/07/07,02:11:29
37.553146,127.122603,2024/07/07,02:11:30
37.553126,127.122597,2024/07/07,02:11:31
37.553105,127.122589,2024/07/07,02:11:32
37.553085,127.122581,2024/07/07,02:11:33
37.553064,127.122572,2024/07/07,02:11:34
37.553044,127.122562,2024/07/07,02:11:35
37.553023,127.122552,2024/07/07,02:11:36
37.553003,127.122542,2024/07/07,02:11:37
37.552981,127.122533,2024/07/07,02:11:38
37.552959,127.122527,2024/07/07,02:11:39
37.552935,127.122521,2024/07/07,02:11:40
37.552913,127.122513,2024/07/07,02:11:41
37.55289,127.122506,2024/07/07,02:11:42
37.552868,127.122497,2024/07/07,02:11:43
37.552845,127.12249,2024/07/07,02:11:44
37.552821,127.122481,2024/07/07,02:11:45
37.552798,127.122473,2024/07/07,02:11:46
37.552776,127.122465,2024/07/07,02:11:47
37.552753,127.122458,2024/07/07,02:11:48
37.55273,127.122452,2024/07/07,02:11:49
37.552707,127.122446,2024/07/07,02:11:50
37.552684,127.12244,2024/07/07,02:11:51
37.552662,127.122434,2024/07/07,02:11:52
37.552639,127.122429,2024/07/07,02:11:53
37.552616,127.122423,2024/07/07,02:11:54
37.552592,127.122413,2024/07/07,02:11:55
37.552568,127.122402,2024/07/07,02:11:56
37.552543,127.122391,2024/07/07,02:11:57
37.552519,127.122382,2024/07/07,02:11:58
37.552495,127.122372,2024/07/07,02:11:59
37.552471,127.122362,2024/07/07,02:12:00
37.552448,127.122353,2024/07/07,02:12:01
37.552426,127.122344,2024/07/07,02:12:02
37.552402,127.122336,2024/07/07,02:12:03
37.552379,127.122328,2024/07/07,02:12:04
37.552356,127.122319,2024/07/07,02:12:05
37.552334,127.122312,2024/07/07,02:12:06
37.55231,127.122303,2024/07/07,02:12:07
37.552287,127.122295,2024/07/07,02:12:08
37.552264,127.122285,2024/07/07,02:12:09
37.552241,127.122276,2024/07/07,02:12:10
37.552218,127.122266,2024/07/07,02:12:11
37.552195,127.122257,2024/07/07,02:12:12
37.552173,127.122248,2024/07/07,02:12:13
37.552151,127.122237,2024/07/07,02:12:14
37.552128,127.122226,2024/07/07,02:12:15
37.552106,127.122216,2024/07/07,02:12:16
37.552084,127.122208,2024/07/07,02:12:17
37.552061,127.122199,2024/07/07,02:12:18
37.552038,127.12219,2024/07/07,02:12:19
37.552015,127.122181,2024/07/07,02:12:20
37.551994,127.122172,2024/07/07,02:12:21
37.551971,127.122165,2024/07/07,02:12:22
37.551948,127.12216,2024/07/07,02:12:23
37.551926,127.122153,2024/07/07,02:12:24
37.551904,127.122144,2024/07/07,02:12:25
37.551883,127.122135,2024/07/07,02:12:26
37.551862,127.122125,2024/07/07,02:12:27
37.55184,127.122115,2024/07/07,02:12:28
37.551818,127.122105,2024/07/07,02:12:29
37.551795,127.122095,2024/07/07,02:12:30
37.551774,127.122086,2024/07/07,02:12:31
37.551753,127.122076,2024/07/07,02:12:32
37.551731,127.122067,2024/07/07,02:12:33
37.551709,127.122057,2024/07/07,02:12:34
37.551687,127.122048,2024/07/07,02:12:35
37.551665,127.12204,2024/07/07,02:12:36
37.551642,127.122032,2024/07/07,02:12:37
37.55162,127.122025,2024/07/07,02:12:38
37.551596,127.122019,2024/07/07,02:12:39
37.551572,127.122013,2024/07/07,02:12:40
37.551548,127.122008,2024/07/07,02:12:41
37.551525,127.122001,2024/07/07,02:12:42
37.551502,127.121995,2024/07/07,02:12:43
37.551479,127.121989,2024/07/07,02:12:44
37.551455,127.121982,2024/07/07,02:12:45
37.551433,127.121975,2024/07/07,02:12:46
37.551412,127.121967,2024/07/07,02:12:47
37.551391,127.121958,2024/07/07,02:12:48
37.551371,127.121949,2024/07/07,02:12:49
37.55135,127.121941,2024/07/07,02:12:50
37.551329,127.121935,2024/07/07,02:12:51
37.551308,127.121928,2024/07/07,02:12:52
37.551287,127.12192,2024/07/07,02:12:53
37.551265,127.121911,2024/07/07,02:12:54
37.551242,127.121902,2024/07/07,02:12:55
37.551219,127.121894,2024/07/07,02:12:56
37.551197,127.121886,2024/07/07,02:12:57
37.551174,127.121876,2024/07/07,02:12:58
37.551152,127.121867,2024/07/07,02:12:59
37.551131,127.121855,2024/07/07,02:13:00
