x,y,d,t
37.724323,127.04777,2024/07/12,23:25:11
37.724323,127.04777,2024/07/12,23:25:18
37.724323,127.04777,2024/07/12,23:25:19
37.724323,127.04777,2024/07/12,23:25:20
37.724323,127.04777,2024/07/12,23:25:21
37.724323,127.04777,2024/07/12,23:25:22
37.724323,127.04777,2024/07/12,23:25:23
37.724323,127.04777,2024/07/12,23:25:24
37.724323,127.04777,2024/07/12,23:25:25
37.724323,127.04777,2024/07/12,23:25:26
37.724323,127.04777,2024/07/12,23:25:27
37.724323,127.04777,2024/07/12,23:25:28
37.724323,127.04777,2024/07/12,23:25:29
37.724323,127.04777,2024/07/12,23:25:30
37.724323,127.04777,2024/07/12,23:25:31
37.724323,127.04777,2024/07/12,23:25:32
37.724323,127.04777,2024/07/12,23:25:33
37.724323,127.04777,2024/07/12,23:25:34
37.724323,127.04777,2024/07/12,23:25:35
37.724323,127.04777,2024/07/12,23:25:36
37.724323,127.04777,2024/07/12,23:25:37
37.724323,127.04777,2024/07/12,23:25:38
37.724323,127.04777,2024/07/12,23:25:39
37.724323,127.04777,2024/07/12,23:25:40
37.724323,127.04777,2024/07/12,23:25:41
37.724323,127.04777,2024/07/12,23:25:42
37.724323,127.04777,2024/07/12,23:25:43
37.724323,127.04777,2024/07/12,23:25:44
37.724323,127.04777,2024/07/12,23:25:45
37.724323,127.04777,2024/07/12,23:25:46
37.724323,127.04777,2024/07/12,23:25:47
37.724323,127.04777,2024/07/12,23:25:48
37.724323,127.04777,2024/07/12,23:25:49
37.724323,127.04777,2024/07/12,23:25:50
37.724323,127.04777,2024/07/12,23:25:51
37.724323,127.04777,2024/07/12,23:25:52
37.724323,127.04777,2024/07/12,23:25:53
37.724323,127.04777,2024/07/12,23:25:54
37.724323,127.04777,2024/07/12,23:25:55
37.724323,127.04777,2024/07/12,23:25:56
37.724323,127.04777,2024/07/12,23:25:57
37.724323,127.04777,2024/07/12,23:25:58
37.724323,127.04777,2024/07/12,23:25:59
37.724323,127.04777,2024/07/12,23:26:00
37.724323,127.04777,2024/07/12,23:26:01
37.724323,127.04777,2024/07/12,23:26:02
37.724323,127.04777,2024/07/12,23:26:03
37.724323,127.04777,2024/07/12,23:26:04
37.724323,127.04777,2024/07/12,23:26:05
37.724323,127.04777,2024/07/12,23:26:06
37.724323,127.04777,2024/07/12,23:26:07
37.724323,127.04777,2024/07/12,23:26:08
37.724323,127.04777,2024/07/12,23:26:09
37.724323,127.04777,2024/07/12,23:26:10
37.724323,127.04777,2024/07/12,23:26:11
37.724323,127.04777,2024/07/12,23:26:12
37.724323,127.04777,2024/07/12,23:26:13
37.724323,127.04777,2024/07/12,23:26:14
37.724323,127.04777,2024/07/12,23:26:15
37.724323,127.04777,2024/07/12,23:26:16
37.724323,127.04777,2024/07/12,23:26:17
37.724323,127.04777,2024/07/12,23:26:18
37.724323,127.04777,2024/07/12,23:26:19
37.724323,127.04777,2024/07/12,23:26:20
37.724323,127.04777,2024/07/12,23:26:21
37.724323,127.04777,2024/07/12,23:26:22
37.724323,127.04777,2024/07/12,23:26:23
37.724323,127.04777,2024/07/12,23:26:24
37.724323,127.04777,2024/07/12,23:26:25
37.724323,127.04777,2024/07/12,23:26:26
37.724323,127.04777,2024/07/12,23:26:27
37.724323,127.04777,2024/07/12,23:26:28
37.724323,127.04777,2024/07/12,23:26:29
37.724323,127.04777,2024/07/12,23:26:30
