x,y,d,t
37.50142,126.892913,2024/07/30,09:26:45
37.50142,126.892913,2024/07/30,09:33:48
37.501433,126.892906,2024/07/30,09:33:49
37.501454,126.8929,2024/07/30,09:33:50
37.501483,126.892892,2024/07/30,09:33:51
37.501513,126.892887,2024/07/30,09:33:52
37.501546,126.892882,2024/07/30,09:33:53
37.50158,126.892876,2024/07/30,09:33:54
37.501615,126.892871,2024/07/30,09:33:55
37.501649,126.892868,2024/07/30,09:33:56
37.501682,126.892857,2024/07/30,09:33:57
37.501715,126.892845,2024/07/30,09:33:58
37.501748,126.892834,2024/07/30,09:33:59
37.501782,126.892824,2024/07/30,09:34:00
37.501818,126.892815,2024/07/30,09:34:01
37.501854,126.892809,2024/07/30,09:34:02
37.50189,126.892807,2024/07/30,09:34:03
37.501926,126.892806,2024/07/30,09:34:04
37.501963,126.892807,2024/07/30,09:34:05
37.501999,126.892806,2024/07/30,09:34:06
37.502035,126.892806,2024/07/30,09:34:07
37.502072,126.892807,2024/07/30,09:34:08
37.502111,126.89281,2024/07/30,09:34:09
37.502149,126.892811,2024/07/30,09:34:10
37.502189,126.892813,2024/07/30,09:34:11
37.50223,126.892815,2024/07/30,09:34:12
37.502272,126.892818,2024/07/30,09:34:13
37.502318,126.892825,2024/07/30,09:34:14
37.502365,126.892834,2024/07/30,09:34:15
37.502414,126.892846,2024/07/30,09:34:16
37.503183,126.892967,2024/07/30,09:34:55
37.503338,126.892994,2024/07/30,09:34:56
37.503648,126.893048,2024/07/30,09:34:57
37.503807,126.89308,2024/07/30,09:34:58
37.503916,126.893104,2024/07/30,09:34:59
37.503994,126.893126,2024/07/30,09:35:00
37.504056,126.893143,2024/07/30,09:35:01
37.504107,126.893156,2024/07/30,09:35:02
37.504154,126.893167,2024/07/30,09:35:03
37.504197,126.893178,2024/07/30,09:35:04
37.504237,126.893188,2024/07/30,09:35:05
37.504277,126.893197,2024/07/30,09:35:06
37.504315,126.893207,2024/07/30,09:35:07
37.504352,126.893219,2024/07/30,09:35:08
37.50439,126.893229,2024/07/30,09:35:09
37.504427,126.893239,2024/07/30,09:35:10
37.504465,126.893248,2024/07/30,09:35:11
37.504503,126.893257,2024/07/30,09:35:12
37.504541,126.893265,2024/07/30,09:35:13
37.50458,126.893275,2024/07/30,09:35:14
37.504618,126.893284,2024/07/30,09:35:15
37.504656,126.89329,2024/07/30,09:35:16
37.504695,126.893295,2024/07/30,09:35:17
37.504733,126.893301,2024/07/30,09:35:18
37.504773,126.893307,2024/07/30,09:35:19
37.504813,126.893313,2024/07/30,09:35:20
37.504853,126.893318,2024/07/30,09:35:21
37.504893,126.893322,2024/07/30,09:35:22
37.504933,126.893326,2024/07/30,09:35:23
37.504973,126.89333,2024/07/30,09:35:24
37.505012,126.893336,2024/07/30,09:35:25
37.505051,126.893343,2024/07/30,09:35:26
37.505089,126.89335,2024/07/30,09:35:27
37.505128,126.893354,2024/07/30,09:35:28
37.505166,126.893359,2024/07/30,09:35:29
37.505203,126.893364,2024/07/30,09:35:30
37.505241,126.893369,2024/07/30,09:35:31
37.50528,126.893373,2024/07/30,09:35:32
37.505318,126.893377,2024/07/30,09:35:33
37.505354,126.893384,2024/07/30,09:35:34
37.505391,126.893391,2024/07/30,09:35:35
37.505428,126.893398,2024/07/30,09:35:36
37.505464,126.893403,2024/07/30,09:35:37
37.505501,126.893407,2024/07/30,09:35:38
37.505537,126.89341,2024/07/30,09:35:39
37.505574,126.893413,2024/07/30,09:35:40
37.505612,126.893417,2024/07/30,09:35:41
37.505647,126.893421,2024/07/30,09:35:42
37.505684,126.893424,2024/07/30,09:35:43
37.50572,126.893427,2024/07/30,09:35:44
37.505757,126.893427,2024/07/30,09:35:45
37.505794,126.893427,2024/07/30,09:35:46
37.505832,126.893425,2024/07/30,09:35:47
37.505869,126.893424,2024/07/30,09:35:48
