x,y,d,t
37.567189,127.059197,2024/08/18,21:30:39
37.567437,127.058967,2024/08/18,21:30:41
37.567631,127.058957,2024/08/18,21:30:42
37.56764,127.059051,2024/08/18,21:30:44
37.567615,127.059093,2024/08/18,21:30:45
37.567583,127.059159,2024/08/18,21:30:47
37.567516,127.05919,2024/08/18,21:30:49
37.567502,127.059213,2024/08/18,21:30:51
37.567489,127.059274,2024/08/18,21:30:53
37.567457,127.05936,2024/08/18,21:30:55
37.56742,127.059405,2024/08/18,21:30:56
37.567397,127.059444,2024/08/18,21:30:57
37.567356,127.059515,2024/08/18,21:30:59
37.567325,127.059599,2024/08/18,21:31:01
37.567301,127.059632,2024/08/18,21:31:02
37.567293,127.059707,2024/08/18,21:31:04
37.567291,127.059785,2024/08/18,21:31:06
37.567303,127.059864,2024/08/18,21:31:08
37.567302,127.059901,2024/08/18,21:31:09
37.567298,127.059975,2024/08/18,21:31:11
37.567297,127.060011,2024/08/18,21:31:12
37.567297,127.060038,2024/08/18,21:31:13
37.567296,127.060094,2024/08/18,21:31:15
37.567299,127.060122,2024/08/18,21:31:16
37.567309,127.060183,2024/08/18,21:31:18
37.56732,127.060243,2024/08/18,21:31:20
37.567328,127.060271,2024/08/18,21:31:21
37.567355,127.060353,2024/08/18,21:31:23
37.567357,127.060381,2024/08/18,21:31:24
37.567374,127.06045,2024/08/18,21:31:26
37.567382,127.060512,2024/08/18,21:31:28
37.567389,127.060553,2024/08/18,21:31:29
37.567417,127.060615,2024/08/18,21:31:31
37.567436,127.060638,2024/08/18,21:31:32
37.567452,127.060661,2024/08/18,21:31:33
37.567477,127.060695,2024/08/18,21:31:35
37.567509,127.060725,2024/08/18,21:31:37
37.567567,127.06072,2024/08/18,21:31:39
37.567593,127.060727,2024/08/18,21:31:40
37.567612,127.060728,2024/08/18,21:31:41
37.567695,127.060708,2024/08/18,21:31:43
37.567737,127.060681,2024/08/18,21:31:44
37.567817,127.060673,2024/08/18,21:31:46
37.567844,127.06067,2024/08/18,21:31:47
37.567903,127.060654,2024/08/18,21:31:49
37.567952,127.060608,2024/08/18,21:31:51
37.567972,127.060585,2024/08/18,21:31:52
37.567993,127.060563,2024/08/18,21:31:53
37.56801,127.060516,2024/08/18,21:31:55
37.56802,127.060494,2024/08/18,21:31:56
37.568036,127.060456,2024/08/18,21:31:58
37.568053,127.060423,2024/08/18,21:32:00
37.568065,127.060405,2024/08/18,21:32:01
37.568099,127.060367,2024/08/18,21:32:03
37.568132,127.060335,2024/08/18,21:32:05
37.568145,127.060326,2024/08/18,21:32:06
37.568173,127.060285,2024/08/18,21:32:08
37.568196,127.060242,2024/08/18,21:32:10
37.56821,127.060188,2024/08/18,21:32:12
37.568217,127.060157,2024/08/18,21:32:13
37.568209,127.060089,2024/08/18,21:32:15
37.568208,127.060024,2024/08/18,21:32:17
37.568213,127.05999,2024/08/18,21:32:18
37.568213,127.059915,2024/08/18,21:32:20
37.56821,127.059886,2024/08/18,21:32:21
37.568211,127.059823,2024/08/18,21:32:23
37.568207,127.059761,2024/08/18,21:32:25
37.568203,127.059727,2024/08/18,21:32:26
37.568195,127.059671,2024/08/18,21:32:28
37.568184,127.059611,2024/08/18,21:32:30
37.56817,127.059553,2024/08/18,21:32:32
37.568172,127.059527,2024/08/18,21:32:33
37.568163,127.059472,2024/08/18,21:32:35
37.568156,127.059433,2024/08/18,21:32:36
37.568131,127.059368,2024/08/18,21:32:38
37.56812,127.059345,2024/08/18,21:32:39
37.568108,127.059332,2024/08/18,21:32:40
37.568071,127.059312,2024/08/18,21:32:42
37.568042,127.059301,2024/08/18,21:32:44
37.568028,127.059295,2024/08/18,21:32:45
37.567999,127.059298,2024/08/18,21:32:47
37.567951,127.059309,2024/08/18,21:32:49
37.567928,127.059332,2024/08/18,21:32:51
37.567859,127.059349,2024/08/18,21:32:53
37.567844,127.059347,2024/08/18,21:32:54
37.567803,127.059375,2024/08/18,21:32:55
37.567736,127.059385,2024/08/18,21:32:57
37.567699,127.0594,2024/08/18,21:32:59
37.56768,127.059426,2024/08/18,21:33:00
37.567667,127.05944,2024/08/18,21:33:01
37.567621,127.059461,2024/08/18,21:33:03
37.567613,127.05947,2024/08/18,21:33:04
37.567605,127.059491,2024/08/18,21:33:05
37.567582,127.05952,2024/08/18,21:33:07
37.56757,127.0595,2024/08/18,21:33:09
37.567563,127.059451,2024/08/18,21:33:11
37.567569,127.059437,2024/08/18,21:33:12
37.567593,127.059397,2024/08/18,21:33:16
37.567618,127.05934,2024/08/18,21:33:18
37.567638,127.059298,2024/08/18,21:33:19
37.567626,127.059233,2024/08/18,21:33:21
37.567593,127.059188,2024/08/18,21:33:23
37.567555,127.059148,2024/08/18,21:33:25
37.567517,127.059135,2024/08/18,21:33:27
37.567537,127.059141,2024/08/18,21:33:29
37.567562,127.059154,2024/08/18,21:33:31
37.567594,127.059182,2024/08/18,21:33:33
37.567603,127.059196,2024/08/18,21:33:34
37.567603,127.059262,2024/08/18,21:33:36
37.567553,127.059348,2024/08/18,21:33:38
37.567521,127.059391,2024/08/18,21:33:39
37.567489,127.059438,2024/08/18,21:33:40
37.567446,127.059473,2024/08/18,21:33:41
37.567368,127.059545,2024/08/18,21:33:43
37.567321,127.059623,2024/08/18,21:33:45
37.567295,127.059696,2024/08/18,21:33:47
37.567274,127.059765,2024/08/18,21:33:49
37.567266,127.059838,2024/08/18,21:33:51
37.567269,127.059909,2024/08/18,21:33:53
37.567281,127.059986,2024/08/18,21:33:55
37.567286,127.060023,2024/08/18,21:33:56
37.567287,127.060052,2024/08/18,21:33:57
37.56729,127.060121,2024/08/18,21:33:59
37.567293,127.060154,2024/08/18,21:34:00
37.567301,127.060183,2024/08/18,21:34:01
37.567312,127.060216,2024/08/18,21:34:02
37.567323,127.060268,2024/08/18,21:34:04
37.567344,127.060322,2024/08/18,21:34:06
37.567347,127.060351,2024/08/18,21:34:07
37.567356,127.060405,2024/08/18,21:34:09
37.567364,127.060473,2024/08/18,21:34:11
37.567381,127.060541,2024/08/18,21:34:13
37.567392,127.060571,2024/08/18,21:34:14
37.567398,127.060599,2024/08/18,21:34:15
37.567423,127.060636,2024/08/18,21:34:17
37.56744,127.060687,2024/08/18,21:34:19
37.567456,127.060723,2024/08/18,21:34:21
37.567488,127.060732,2024/08/18,21:34:23
37.567533,127.060697,2024/08/18,21:34:25
37.567556,127.060685,2024/08/18,21:34:26
37.567617,127.060653,2024/08/18,21:34:28
37.567635,127.060651,2024/08/18,21:34:29
37.567676,127.06062,2024/08/18,21:34:31
37.567701,127.060598,2024/08/18,21:34:33
37.567721,127.06058,2024/08/18,21:34:35
37.567737,127.060567,2024/08/18,21:34:36
37.567753,127.060558,2024/08/18,21:34:37
37.56776,127.060544,2024/08/18,21:34:38
37.56777,127.060505,2024/08/18,21:34:40
37.56777,127.060492,2024/08/18,21:34:41
37.567769,127.060458,2024/08/18,21:34:43
37.567785,127.060437,2024/08/18,21:34:45
37.567802,127.060415,2024/08/18,21:34:47
37.567811,127.060397,2024/08/18,21:34:48
37.567876,127.060387,2024/08/18,21:34:50
37.56794,127.060351,2024/08/18,21:34:52
37.568011,127.060317,2024/08/18,21:34:54
37.568046,127.060285,2024/08/18,21:34:56
37.568078,127.060249,2024/08/18,21:34:58
37.568099,127.060223,2024/08/18,21:34:59
37.56811,127.060194,2024/08/18,21:35:00
37.56816,127.060137,2024/08/18,21:35:02
37.56817,127.060104,2024/08/18,21:35:03
37.568202,127.060079,2024/08/18,21:35:05
37.568214,127.060051,2024/08/18,21:35:06
37.568217,127.060018,2024/08/18,21:35:07
37.568225,127.059946,2024/08/18,21:35:09
37.568219,127.05987,2024/08/18,21:35:11
37.568212,127.059836,2024/08/18,21:35:12
37.568211,127.059797,2024/08/18,21:35:13
37.568217,127.059725,2024/08/18,21:35:15
37.568216,127.059694,2024/08/18,21:35:16
37.56822,127.059633,2024/08/18,21:35:18
37.568236,127.059557,2024/08/18,21:35:20
37.568232,127.059529,2024/08/18,21:35:21
37.568225,127.0595,2024/08/18,21:35:22
37.568218,127.059475,2024/08/18,21:35:23
37.568184,127.05942,2024/08/18,21:35:25
37.568146,127.059364,2024/08/18,21:35:27
37.568132,127.059339,2024/08/18,21:35:28
37.56811,127.059297,2024/08/18,21:35:30
37.568103,127.059275,2024/08/18,21:35:31
37.568081,127.059257,2024/08/18,21:35:33
37.56805,127.059256,2024/08/18,21:35:35
37.568045,127.059265,2024/08/18,21:35:36
37.567989,127.059299,2024/08/18,21:35:38
37.567908,127.059285,2024/08/18,21:35:40
37.567839,127.059296,2024/08/18,21:35:41
37.567769,127.059319,2024/08/18,21:35:43
37.567709,127.059344,2024/08/18,21:35:45
37.567691,127.059387,2024/08/18,21:35:46
37.567648,127.059417,2024/08/18,21:35:48
37.567621,127.059446,2024/08/18,21:35:50
37.567589,127.059471,2024/08/18,21:35:52
37.567568,127.05946,2024/08/18,21:35:54
37.567567,127.05944,2024/08/18,21:35:56
37.567581,127.059432,2024/08/18,21:35:57
37.567595,127.059426,2024/08/18,21:35:58
37.567609,127.059393,2024/08/18,21:36:00
37.567659,127.059332,2024/08/18,21:36:02
37.567679,127.059297,2024/08/18,21:36:03
37.567664,127.059271,2024/08/18,21:36:04
37.567649,127.059244,2024/08/18,21:36:05
37.567617,127.059216,2024/08/18,21:36:06
37.567609,127.059194,2024/08/18,21:36:07
37.567574,127.059155,2024/08/18,21:36:09
37.567561,127.059172,2024/08/18,21:36:11
37.567573,127.059197,2024/08/18,21:36:13
37.567605,127.059232,2024/08/18,21:36:15
37.567615,127.059253,2024/08/18,21:36:16
37.567608,127.059273,2024/08/18,21:36:17
37.567572,127.059324,2024/08/18,21:36:19
37.567507,127.059403,2024/08/18,21:36:21
37.567464,127.059448,2024/08/18,21:36:22
37.567398,127.059539,2024/08/18,21:36:24
37.567341,127.059605,2024/08/18,21:36:26
37.567318,127.059635,2024/08/18,21:36:27
37.567294,127.059702,2024/08/18,21:36:29
37.567284,127.05977,2024/08/18,21:36:31
37.567282,127.059814,2024/08/18,21:36:32
37.567277,127.05985,2024/08/18,21:36:33
37.567274,127.059922,2024/08/18,21:36:35
37.567274,127.059958,2024/08/18,21:36:36
37.567278,127.059997,2024/08/18,21:36:37
37.567282,127.060032,2024/08/18,21:36:38
37.567289,127.060099,2024/08/18,21:36:40
37.56729,127.060136,2024/08/18,21:36:41
37.567293,127.060202,2024/08/18,21:36:43
37.567298,127.060234,2024/08/18,21:36:44
37.567311,127.060298,2024/08/18,21:36:46
37.567321,127.06033,2024/08/18,21:36:47
37.567341,127.060394,2024/08/18,21:36:49
37.567347,127.060418,2024/08/18,21:36:50
37.567354,127.060441,2024/08/18,21:36:51
37.567371,127.06049,2024/08/18,21:36:53
37.567384,127.060541,2024/08/18,21:36:55
37.567388,127.060564,2024/08/18,21:36:56
37.567396,127.06059,2024/08/18,21:36:57
37.56741,127.060608,2024/08/18,21:36:58
37.56745,127.060635,2024/08/18,21:37:00
37.567471,127.060651,2024/08/18,21:37:01
37.567501,127.060691,2024/08/18,21:37:03
37.567522,127.060716,2024/08/18,21:37:05
37.567532,127.060704,2024/08/18,21:37:06
37.567564,127.06067,2024/08/18,21:37:08
37.567628,127.060672,2024/08/18,21:37:11
37.567655,127.060679,2024/08/18,21:37:13
37.567682,127.060685,2024/08/18,21:37:14
37.567694,127.060687,2024/08/18,21:37:15
37.567791,127.060699,2024/08/18,21:37:17
37.567828,127.060662,2024/08/18,21:37:19
37.567847,127.060614,2024/08/18,21:37:21
37.567858,127.060594,2024/08/18,21:37:22
37.567876,127.060537,2024/08/18,21:37:24
37.567887,127.060507,2024/08/18,21:37:25
37.56791,127.060457,2024/08/18,21:37:27
37.567937,127.060408,2024/08/18,21:37:29
37.567953,127.060392,2024/08/18,21:37:30
37.567993,127.060354,2024/08/18,21:37:32
37.568012,127.060333,2024/08/18,21:37:33
37.568043,127.060292,2024/08/18,21:37:35
37.568066,127.06027,2024/08/18,21:37:36
37.568088,127.060259,2024/08/18,21:37:37
37.568129,127.060228,2024/08/18,21:37:39
37.568135,127.060211,2024/08/18,21:37:40
37.568178,127.06016,2024/08/18,21:37:42
37.568202,127.060098,2024/08/18,21:37:44
37.568219,127.060038,2024/08/18,21:37:46
37.568231,127.060008,2024/08/18,21:37:47
37.568255,127.059931,2024/08/18,21:37:49
37.568265,127.059851,2024/08/18,21:37:51
37.568262,127.059814,2024/08/18,21:37:52
37.568261,127.059751,2024/08/18,21:37:54
37.568253,127.059712,2024/08/18,21:37:55
37.568239,127.059645,2024/08/18,21:37:57
37.568236,127.059614,2024/08/18,21:37:58
37.568227,127.059545,2024/08/18,21:38:00
37.56822,127.059507,2024/08/18,21:38:01
37.568211,127.059477,2024/08/18,21:38:02
37.568199,127.059444,2024/08/18,21:38:03
37.568173,127.059389,2024/08/18,21:38:05
37.568155,127.059342,2024/08/18,21:38:07
37.568121,127.059301,2024/08/18,21:38:09
37.568088,127.05929,2024/08/18,21:38:11
37.568053,127.059279,2024/08/18,21:38:13
37.568038,127.059278,2024/08/18,21:38:14
37.568011,127.059283,2024/08/18,21:38:16
37.568,127.059292,2024/08/18,21:38:17
37.567997,127.059304,2024/08/18,21:38:18
37.567989,127.059323,2024/08/18,21:38:20
37.567933,127.059341,2024/08/18,21:38:22
37.567836,127.059356,2024/08/18,21:38:24
37.567781,127.059367,2024/08/18,21:38:25
37.567735,127.059374,2024/08/18,21:38:27
37.567711,127.059366,2024/08/18,21:38:29
37.567667,127.059366,2024/08/18,21:38:31
37.567623,127.059397,2024/08/18,21:38:33
37.567611,127.059424,2024/08/18,21:38:34
37.567583,127.059464,2024/08/18,21:38:36
37.567586,127.059446,2024/08/18,21:38:39
37.567598,127.05945,2024/08/18,21:38:41
37.567614,127.05946,2024/08/18,21:38:43
37.567616,127.059442,2024/08/18,21:38:45
37.567655,127.059378,2024/08/18,21:38:47
37.567663,127.059345,2024/08/18,21:38:49
37.56766,127.059323,2024/08/18,21:38:50
37.56765,127.059289,2024/08/18,21:38:52
37.567642,127.059264,2024/08/18,21:38:53
37.567596,127.0592,2024/08/18,21:38:55
37.567594,127.059187,2024/08/18,21:38:56
37.567593,127.059171,2024/08/18,21:38:58
37.567568,127.059176,2024/08/18,21:39:01
