x,y,d,t
37.51744,126.972477,2024/08/20,10:07:06
37.517442,126.972493,2024/08/20,10:07:07
37.517433,126.972514,2024/08/20,10:07:08
37.517416,126.972558,2024/08/20,10:07:09
37.517391,126.9726,2024/08/20,10:07:10
37.517374,126.97264,2024/08/20,10:07:11
37.517346,126.972742,2024/08/20,10:07:13
37.517335,126.972783,2024/08/20,10:07:14
37.517325,126.972811,2024/08/20,10:07:15
37.517309,126.972856,2024/08/20,10:07:17
37.517302,126.97287,2024/08/20,10:07:18
37.517293,126.972907,2024/08/20,10:07:20
37.517278,126.972976,2024/08/20,10:07:22
37.517264,126.97301,2024/08/20,10:07:23
37.517245,126.973076,2024/08/20,10:07:25
37.517236,126.973109,2024/08/20,10:07:26
37.517221,126.973152,2024/08/20,10:07:27
37.51721,126.973197,2024/08/20,10:07:28
37.517172,126.973322,2024/08/20,10:07:30
37.517152,126.973382,2024/08/20,10:07:31
37.517128,126.973444,2024/08/20,10:07:32
37.517089,126.973574,2024/08/20,10:07:34
37.517069,126.973631,2024/08/20,10:07:35
37.517033,126.973741,2024/08/20,10:07:37
37.517018,126.973785,2024/08/20,10:07:38
37.517002,126.973844,2024/08/20,10:07:40
37.516986,126.973895,2024/08/20,10:07:42
37.516969,126.973962,2024/08/20,10:07:44
37.516948,126.974033,2024/08/20,10:07:46
37.516939,126.974063,2024/08/20,10:07:47
37.51692,126.974134,2024/08/20,10:07:49
37.516913,126.974172,2024/08/20,10:07:50
37.516905,126.974203,2024/08/20,10:07:51
37.516888,126.974266,2024/08/20,10:07:53
37.516877,126.9743,2024/08/20,10:07:54
37.516868,126.974337,2024/08/20,10:07:55
37.516853,126.974406,2024/08/20,10:07:57
37.516834,126.974478,2024/08/20,10:07:59
37.516825,126.974513,2024/08/20,10:08:00
37.516818,126.974553,2024/08/20,10:08:01
37.516809,126.974586,2024/08/20,10:08:02
37.516802,126.974616,2024/08/20,10:08:03
37.51678,126.974697,2024/08/20,10:08:05
37.516762,126.974769,2024/08/20,10:08:07
37.516753,126.9748,2024/08/20,10:08:08
37.516743,126.974854,2024/08/20,10:08:10
37.516735,126.974894,2024/08/20,10:08:11
37.516723,126.974933,2024/08/20,10:08:12
37.516709,126.97501,2024/08/20,10:08:14
37.516696,126.975061,2024/08/20,10:08:15
37.516672,126.975168,2024/08/20,10:08:17
37.516642,126.975278,2024/08/20,10:08:19
37.516629,126.975343,2024/08/20,10:08:20
37.516602,126.975483,2024/08/20,10:08:22
37.516569,126.975641,2024/08/20,10:08:24
37.516551,126.975722,2024/08/20,10:08:25
37.516533,126.97581,2024/08/20,10:08:26
37.516497,126.975994,2024/08/20,10:08:28
37.516479,126.976095,2024/08/20,10:08:29
37.516462,126.976193,2024/08/20,10:08:30
37.516424,126.976387,2024/08/20,10:08:32
37.516389,126.976575,2024/08/20,10:08:35
37.51637,126.97667,2024/08/20,10:08:37
37.516355,126.976769,2024/08/20,10:08:48
37.516323,126.976981,2024/08/20,10:08:52
37.516306,126.977095,2024/08/20,10:08:55
37.516097,126.98039,2024/08/20,10:09:10
37.516099,126.980423,2024/08/20,10:09:11
37.516106,126.98051,2024/08/20,10:09:13
37.516098,126.980617,2024/08/20,10:09:15
37.516099,126.980723,2024/08/20,10:09:17
37.516099,126.980793,2024/08/20,10:09:19
37.516099,126.980821,2024/08/20,10:09:20
37.516097,126.980853,2024/08/20,10:09:22
37.51609,126.980867,2024/08/20,10:09:31
37.516092,126.980896,2024/08/20,10:09:33
37.516095,126.980918,2024/08/20,10:09:34
37.516095,126.980945,2024/08/20,10:09:35
37.516092,126.98099,2024/08/20,10:09:36
37.516088,126.98104,2024/08/20,10:09:37
37.516089,126.981161,2024/08/20,10:09:39
37.516088,126.98123,2024/08/20,10:09:40
37.516087,126.981304,2024/08/20,10:09:41
37.51609,126.981452,2024/08/20,10:09:43
37.516089,126.981613,2024/08/20,10:09:45
37.51609,126.981695,2024/08/20,10:09:46
37.51609,126.981862,2024/08/20,10:09:48
37.516087,126.981951,2024/08/20,10:09:49
37.516087,126.982119,2024/08/20,10:09:51
37.516085,126.982211,2024/08/20,10:09:52
37.516085,126.982395,2024/08/20,10:09:54
37.516082,126.98258,2024/08/20,10:09:56
37.51608,126.982673,2024/08/20,10:09:57
37.516082,126.982767,2024/08/20,10:09:58
37.516088,126.982962,2024/08/20,10:10:00
37.51609,126.983147,2024/08/20,10:10:02
37.51609,126.983333,2024/08/20,10:10:04
37.516122,126.983508,2024/08/20,10:10:06
37.516129,126.983685,2024/08/20,10:10:08
37.516133,126.983763,2024/08/20,10:10:09
37.516141,126.983937,2024/08/20,10:10:11
37.516151,126.984102,2024/08/20,10:10:13
37.516157,126.98417,2024/08/20,10:10:14
37.51617,126.984313,2024/08/20,10:10:16
37.516173,126.984392,2024/08/20,10:10:17
37.516179,126.984479,2024/08/20,10:10:18
37.516184,126.984561,2024/08/20,10:10:19
37.516191,126.984643,2024/08/20,10:10:20
37.516198,126.984719,2024/08/20,10:10:21
37.51621,126.984852,2024/08/20,10:10:23
37.516217,126.984909,2024/08/20,10:10:24
37.516232,126.985005,2024/08/20,10:10:26
37.516241,126.98509,2024/08/20,10:10:28
37.516246,126.98514,2024/08/20,10:10:29
37.516259,126.98526,2024/08/20,10:10:31
37.516273,126.985399,2024/08/20,10:10:33
37.516284,126.985542,2024/08/20,10:10:35
37.516297,126.985697,2024/08/20,10:10:37
37.516303,126.98577,2024/08/20,10:10:38
37.516316,126.985906,2024/08/20,10:10:40
37.516331,126.986041,2024/08/20,10:10:42
37.516342,126.986175,2024/08/20,10:10:44
37.51635,126.986248,2024/08/20,10:10:45
37.516367,126.986404,2024/08/20,10:10:47
37.516384,126.986556,2024/08/20,10:10:49
37.516392,126.98663,2024/08/20,10:10:50
37.516411,126.986784,2024/08/20,10:10:52
37.516417,126.986855,2024/08/20,10:10:53
37.516434,126.986999,2024/08/20,10:10:55
37.516446,126.9871,2024/08/20,10:10:57
37.516451,126.987177,2024/08/20,10:10:59
37.516453,126.98721,2024/08/20,10:11:00
37.516455,126.987262,2024/08/20,10:11:02
37.516457,126.987284,2024/08/20,10:11:03
37.516464,126.98732,2024/08/20,10:11:05
37.516469,126.987375,2024/08/20,10:11:07
37.516476,126.98744,2024/08/20,10:11:09
37.516478,126.987476,2024/08/20,10:11:10
37.516486,126.987558,2024/08/20,10:11:12
37.5165,126.987632,2024/08/20,10:11:14
37.516503,126.987692,2024/08/20,10:11:16
37.516507,126.987736,2024/08/20,10:11:18
37.516509,126.987751,2024/08/20,10:11:19
37.516516,126.987784,2024/08/20,10:11:21
37.516518,126.987806,2024/08/20,10:11:22
37.516524,126.987834,2024/08/20,10:11:23
37.516531,126.987908,2024/08/20,10:11:25
37.516545,126.988003,2024/08/20,10:11:27
37.516555,126.988133,2024/08/20,10:11:29
37.516558,126.9882,2024/08/20,10:11:30
37.516571,126.988326,2024/08/20,10:11:32
37.516578,126.988383,2024/08/20,10:11:33
37.516587,126.988444,2024/08/20,10:11:34
37.516604,126.988553,2024/08/20,10:11:36
37.516609,126.98861,2024/08/20,10:11:37
37.516616,126.988661,2024/08/20,10:11:38
37.516641,126.988756,2024/08/20,10:11:40
37.516652,126.9888,2024/08/20,10:11:41
37.516661,126.988854,2024/08/20,10:11:42
37.516686,126.988958,2024/08/20,10:11:44
37.516699,126.989008,2024/08/20,10:11:45
37.516709,126.989054,2024/08/20,10:11:46
37.516726,126.989126,2024/08/20,10:11:48
37.516733,126.989158,2024/08/20,10:11:49
37.516754,126.989223,2024/08/20,10:11:51
37.516783,126.989324,2024/08/20,10:11:53
37.5168,126.989388,2024/08/20,10:11:54
37.516844,126.989507,2024/08/20,10:11:56
37.516866,126.989565,2024/08/20,10:11:57
37.516889,126.989621,2024/08/20,10:11:58
37.516912,126.989698,2024/08/20,10:12:00
37.516921,126.989726,2024/08/20,10:12:01
37.51693,126.989748,2024/08/20,10:12:02
37.516951,126.989804,2024/08/20,10:12:04
37.516962,126.989839,2024/08/20,10:12:05
37.516971,126.989871,2024/08/20,10:12:06
37.516997,126.989929,2024/08/20,10:12:08
37.517013,126.989963,2024/08/20,10:12:09
37.517052,126.990039,2024/08/20,10:12:11
37.517072,126.990089,2024/08/20,10:12:12
37.517116,126.990199,2024/08/20,10:12:14
37.517138,126.990247,2024/08/20,10:12:15
37.517165,126.990322,2024/08/20,10:12:17
37.517177,126.990357,2024/08/20,10:12:19
37.517183,126.990369,2024/08/20,10:12:20
37.517192,126.990397,2024/08/20,10:12:22
37.517204,126.990424,2024/08/20,10:12:24
37.517213,126.990435,2024/08/20,10:12:25
37.517219,126.990451,2024/08/20,10:12:26
37.517226,126.990464,2024/08/20,10:12:27
37.517235,126.990477,2024/08/20,10:12:28
37.517249,126.990499,2024/08/20,10:12:30
37.517258,126.990498,2024/08/20,10:12:36
37.517267,126.990512,2024/08/20,10:12:46
37.517275,126.99053,2024/08/20,10:12:48
37.517289,126.990559,2024/08/20,10:12:50
37.517315,126.990608,2024/08/20,10:12:52
37.517343,126.990665,2024/08/20,10:12:54
37.517359,126.990701,2024/08/20,10:12:55
37.517389,126.990755,2024/08/20,10:12:57
37.517395,126.990767,2024/08/20,10:12:58
37.517404,126.990774,2024/08/20,10:13:00
37.517395,126.990789,2024/08/20,10:13:05
37.517401,126.990799,2024/08/20,10:13:09
37.517415,126.99081,2024/08/20,10:13:11
37.517432,126.990836,2024/08/20,10:13:13
37.517461,126.990887,2024/08/20,10:13:15
37.517513,126.990987,2024/08/20,10:13:17
37.517546,126.991044,2024/08/20,10:13:18
37.517612,126.991157,2024/08/20,10:13:20
37.517681,126.991266,2024/08/20,10:13:22
37.51774,126.991363,2024/08/20,10:13:24
37.51776,126.991395,2024/08/20,10:13:25
37.517775,126.991419,2024/08/20,10:13:26
37.517798,126.991454,2024/08/20,10:13:28
37.517815,126.991477,2024/08/20,10:13:30
37.517833,126.991493,2024/08/20,10:13:32
37.517849,126.991508,2024/08/20,10:13:34
37.517858,126.991518,2024/08/20,10:13:35
