x,y,d,t
37.567189,127.061273,2024/08/23,15:00:28
37.567134,127.061225,2024/08/23,15:00:30
37.567132,127.061237,2024/08/23,15:00:32
37.567141,127.061259,2024/08/23,15:00:33
37.567165,127.061298,2024/08/23,15:00:34
37.567184,127.061346,2024/08/23,15:00:35
37.567218,127.061456,2024/08/23,15:00:37
37.567229,127.061525,2024/08/23,15:00:38
37.567247,127.061587,2024/08/23,15:00:39
37.567266,127.061642,2024/08/23,15:00:40
37.567276,127.061742,2024/08/23,15:00:42
37.567244,127.061802,2024/08/23,15:00:44
37.567194,127.061899,2024/08/23,15:00:46
37.567162,127.061946,2024/08/23,15:00:47
37.5671,127.062018,2024/08/23,15:00:49
37.567055,127.062066,2024/08/23,15:00:51
37.567042,127.062088,2024/08/23,15:00:52
37.56702,127.06212,2024/08/23,15:00:54
37.566995,127.062144,2024/08/23,15:00:56
37.566985,127.062246,2024/08/23,15:00:58
37.567067,127.062428,2024/08/23,15:01:00
37.567227,127.062542,2024/08/23,15:01:02
37.567308,127.062597,2024/08/23,15:01:03
37.567356,127.062645,2024/08/23,15:01:04
37.567381,127.062702,2024/08/23,15:01:06
37.567373,127.062712,2024/08/23,15:01:07
37.56739,127.062724,2024/08/23,15:01:46
37.567445,127.062754,2024/08/23,15:01:48
37.567484,127.06277,2024/08/23,15:01:49
37.567567,127.06282,2024/08/23,15:01:51
37.567658,127.062892,2024/08/23,15:01:53
37.567758,127.062961,2024/08/23,15:01:55
37.567859,127.063026,2024/08/23,15:01:57
37.567896,127.063065,2024/08/23,15:01:58
37.567934,127.063109,2024/08/23,15:01:59
37.568018,127.063171,2024/08/23,15:02:01
37.568067,127.06321,2024/08/23,15:02:02
37.568174,127.063292,2024/08/23,15:02:04
37.56828,127.063377,2024/08/23,15:02:06
37.568338,127.063425,2024/08/23,15:02:07
37.56846,127.063511,2024/08/23,15:02:09
37.568581,127.063595,2024/08/23,15:02:11
37.568703,127.063673,2024/08/23,15:02:13
37.568762,127.063719,2024/08/23,15:02:14
37.568892,127.063813,2024/08/23,15:02:16
37.569033,127.063931,2024/08/23,15:02:18
37.569178,127.064044,2024/08/23,15:02:20
37.569256,127.064102,2024/08/23,15:02:21
37.569404,127.064213,2024/08/23,15:02:23
37.569543,127.064312,2024/08/23,15:02:25
37.569609,127.064358,2024/08/23,15:02:26
37.569733,127.064443,2024/08/23,15:02:28
37.569841,127.064527,2024/08/23,15:02:30
37.569895,127.064561,2024/08/23,15:02:32
37.56991,127.06457,2024/08/23,15:02:33
37.569947,127.064607,2024/08/23,15:02:35
37.569971,127.064634,2024/08/23,15:02:36
37.57002,127.064679,2024/08/23,15:02:38
37.57007,127.06472,2024/08/23,15:02:40
37.570102,127.064741,2024/08/23,15:02:41
37.570157,127.064788,2024/08/23,15:02:43
37.570168,127.064819,2024/08/23,15:02:44
37.570166,127.064847,2024/08/23,15:02:45
37.570146,127.064886,2024/08/23,15:02:47
37.570135,127.064897,2024/08/23,15:02:48
37.570109,127.064899,2024/08/23,15:02:50
37.570077,127.064908,2024/08/23,15:02:52
37.570057,127.064921,2024/08/23,15:02:53
37.570023,127.06496,2024/08/23,15:02:55
37.570015,127.064975,2024/08/23,15:02:56
37.57,127.06499,2024/08/23,15:02:57
37.569984,127.065015,2024/08/23,15:02:59
37.569963,127.065024,2024/08/23,15:03:03
37.569975,127.06501,2024/08/23,15:03:06
37.570001,127.064989,2024/08/23,15:03:08
37.570016,127.064963,2024/08/23,15:03:10
37.570016,127.064946,2024/08/23,15:03:11
37.570032,127.064935,2024/08/23,15:03:12
37.57004,127.064928,2024/08/23,15:03:13
37.570053,127.064927,2024/08/23,15:03:14
37.570062,127.064931,2024/08/23,15:03:15
37.570086,127.064913,2024/08/23,15:03:17
37.570096,127.0649,2024/08/23,15:03:18
37.570109,127.064888,2024/08/23,15:03:19
37.570119,127.064875,2024/08/23,15:03:21
37.570121,127.064888,2024/08/23,15:03:29
37.570079,127.064895,2024/08/23,15:03:31
37.570049,127.064862,2024/08/23,15:03:33
37.570071,127.06484,2024/08/23,15:03:34
37.569988,127.064917,2024/08/23,15:03:38
37.570048,127.064876,2024/08/23,15:03:40
37.569986,127.064667,2024/08/23,15:03:42
37.57099,127.064107,2024/08/23,15:03:48
37.569948,127.064905,2024/08/23,15:04:45
37.570201,127.064907,2024/08/23,15:04:54
37.570188,127.064915,2024/08/23,15:04:55
37.570162,127.06491,2024/08/23,15:04:57
37.57021,127.06503,2024/08/23,15:04:59
37.57029,127.065007,2024/08/23,15:05:00
37.570305,127.064983,2024/08/23,15:05:02
37.570306,127.065005,2024/08/23,15:05:04
37.57036,127.064943,2024/08/23,15:05:06
