x,y,d,t
37.567773,127.059492,2024/08/31,00:56:20
37.568444,127.059692,2024/08/31,00:56:25
37.568244,127.059565,2024/08/31,00:56:30
37.568164,127.059411,2024/08/31,00:56:34
37.568104,127.059272,2024/08/31,00:56:39
37.568081,127.05913,2024/08/31,00:56:44
37.568018,127.058993,2024/08/31,00:56:48
37.567975,127.058857,2024/08/31,00:56:53
37.567842,127.058863,2024/08/31,00:56:58
37.567804,127.059026,2024/08/31,00:57:02
37.567741,127.059083,2024/08/31,00:57:07
37.567641,127.059233,2024/08/31,00:57:12
37.567585,127.059295,2024/08/31,00:57:16
37.567502,127.059428,2024/08/31,00:57:21
37.567399,127.05953,2024/08/31,00:57:26
37.567287,127.059646,2024/08/31,00:57:30
37.567256,127.059838,2024/08/31,00:57:35
37.567266,127.060001,2024/08/31,00:57:40
37.567261,127.060139,2024/08/31,00:57:45
37.56728,127.060276,2024/08/31,00:57:49
37.5673,127.060235,2024/08/31,00:57:54
37.567371,127.060574,2024/08/31,00:57:59
37.567444,127.060649,2024/08/31,00:58:04
37.567538,127.060687,2024/08/31,00:58:08
37.567631,127.060692,2024/08/31,00:58:13
37.567625,127.060538,2024/08/31,00:58:18
37.567627,127.06041,2024/08/31,00:58:22
37.567686,127.06031,2024/08/31,00:58:27
37.567678,127.060162,2024/08/31,00:58:31
37.568096,127.060252,2024/08/31,00:58:36
37.568185,127.060248,2024/08/31,00:58:40
37.568548,127.060165,2024/08/31,00:58:45
37.568649,127.060043,2024/08/31,00:58:50
37.568562,127.059823,2024/08/31,00:58:54
37.568474,127.0597,2024/08/31,00:58:59
37.568341,127.059546,2024/08/31,00:59:04
37.568212,127.059429,2024/08/31,00:59:09
37.568164,127.059363,2024/08/31,00:59:14
37.568115,127.059221,2024/08/31,00:59:18
37.568021,127.058995,2024/08/31,00:59:23
37.568029,127.058831,2024/08/31,00:59:28
37.568038,127.058822,2024/08/31,00:59:32
37.568031,127.058815,2024/08/31,00:59:37
37.568091,127.058662,2024/08/31,00:59:41
37.568163,127.05854,2024/08/31,00:59:46
37.568059,127.058593,2024/08/31,00:59:51
37.568001,127.058466,2024/08/31,00:59:55
37.567893,127.058433,2024/08/31,01:00:00
37.567822,127.058206,2024/08/31,01:00:04
37.567758,127.058193,2024/08/31,01:00:09
37.567913,127.057948,2024/08/31,01:00:13
37.567826,127.057987,2024/08/31,01:00:18
37.567631,127.057724,2024/08/31,01:00:23
37.567543,127.057638,2024/08/31,01:00:27
37.567504,127.057536,2024/08/31,01:00:32
37.567412,127.057503,2024/08/31,01:00:37
37.567221,127.057516,2024/08/31,01:00:42
37.567077,127.057478,2024/08/31,01:00:47
37.566981,127.057379,2024/08/31,01:00:52
37.566888,127.057337,2024/08/31,01:00:56
