x,y,d,t
37.567731,127.057914,2024/08/31,08:31:36
37.567769,127.058034,2024/08/31,08:31:45
37.567656,127.058073,2024/08/31,08:31:58
37.567571,127.057704,2024/08/31,08:32:08
37.567943,127.057264,2024/08/31,08:32:18
37.567598,127.056806,2024/08/31,08:32:28
37.567578,127.056699,2024/08/31,08:32:36
37.567034,127.056821,2024/08/31,08:32:48
37.566926,127.056558,2024/08/31,08:32:58
37.566552,127.05636,2024/08/31,08:33:08
37.566258,127.056212,2024/08/31,08:33:18
37.566265,127.055791,2024/08/31,08:33:28
37.566225,127.055739,2024/08/31,08:33:33
37.565927,127.055519,2024/08/31,08:33:44
37.565722,127.0552,2024/08/31,08:33:54
37.565575,127.054981,2024/08/31,08:34:04
37.565562,127.054865,2024/08/31,08:34:14
37.565584,127.054771,2024/08/31,08:34:19
37.56559,127.054766,2024/08/31,08:34:25
37.565595,127.054769,2024/08/31,08:34:31
37.565678,127.054808,2024/08/31,08:34:35
37.565655,127.054825,2024/08/31,08:34:40
37.565697,127.054866,2024/08/31,08:34:45
37.565346,127.054812,2024/08/31,08:34:55
37.565212,127.054811,2024/08/31,08:35:05
37.565088,127.055351,2024/08/31,08:35:15
37.564925,127.055686,2024/08/31,08:35:25
37.56473,127.056099,2024/08/31,08:35:35
37.564563,127.056289,2024/08/31,08:35:45
37.564329,127.05658,2024/08/31,08:35:55
37.564278,127.056671,2024/08/31,08:36:05
37.563664,127.056807,2024/08/31,08:36:15
37.563402,127.057218,2024/08/31,08:36:25
37.563084,127.057576,2024/08/31,08:36:35
37.562839,127.057761,2024/08/31,08:36:41
37.562609,127.058185,2024/08/31,08:36:53
37.562275,127.058873,2024/08/31,08:37:05
37.562105,127.059172,2024/08/31,08:37:11
37.562281,127.060184,2024/08/31,08:37:25
37.561937,127.060639,2024/08/31,08:37:35
37.561957,127.061096,2024/08/31,08:37:45
37.562038,127.062034,2024/08/31,08:37:55
37.561608,127.062583,2024/08/31,08:38:05
37.561711,127.063089,2024/08/31,08:38:15
37.561593,127.063843,2024/08/31,08:38:25
37.561512,127.064352,2024/08/31,08:38:35
37.561514,127.064398,2024/08/31,08:38:40
37.561359,127.064507,2024/08/31,08:38:45
37.561315,127.064553,2024/08/31,08:38:50
37.561316,127.064436,2024/08/31,08:38:59
37.561387,127.064352,2024/08/31,08:39:13
37.56141,127.064359,2024/08/31,08:39:19
37.561223,127.064389,2024/08/31,08:39:29
37.561257,127.065206,2024/08/31,08:39:39
37.561325,127.065432,2024/08/31,08:39:49
37.561305,127.066281,2024/08/31,08:40:03
37.561295,127.066368,2024/08/31,08:40:09
37.561124,127.067665,2024/08/31,08:40:23
37.561056,127.067838,2024/08/31,08:40:30
37.560942,127.068272,2024/08/31,08:40:39
37.560819,127.068739,2024/08/31,08:40:49
37.560634,127.069427,2024/08/31,08:41:00
37.560536,127.069527,2024/08/31,08:41:10
37.560567,127.069929,2024/08/31,08:41:20
37.560415,127.070114,2024/08/31,08:41:30
37.560404,127.070653,2024/08/31,08:41:40
37.560401,127.071043,2024/08/31,08:41:50
37.560209,127.071227,2024/08/31,08:42:00
37.560085,127.071634,2024/08/31,08:42:10
37.559943,127.071948,2024/08/31,08:42:20
37.559775,127.072316,2024/08/31,08:42:30
37.55965,127.072693,2024/08/31,08:42:40
37.5595,127.073106,2024/08/31,08:42:50
37.559431,127.073405,2024/08/31,08:43:00
37.559066,127.074155,2024/08/31,08:43:10
37.559047,127.075017,2024/08/31,08:43:23
37.558691,127.075644,2024/08/31,08:43:33
37.558584,127.076104,2024/08/31,08:43:43
37.558252,127.076685,2024/08/31,08:43:53
37.558246,127.076906,2024/08/31,08:44:03
37.558001,127.077388,2024/08/31,08:44:13
37.557807,127.077696,2024/08/31,08:44:23
37.557623,127.078236,2024/08/31,08:44:33
37.557543,127.078266,2024/08/31,08:44:43
37.557631,127.078851,2024/08/31,08:44:53
37.557343,127.079181,2024/08/31,08:45:03
37.557026,127.079272,2024/08/31,08:45:13
37.556984,127.079313,2024/08/31,08:45:18
37.556983,127.079317,2024/08/31,08:45:24
37.556996,127.079259,2024/08/31,08:45:32
37.556954,127.079375,2024/08/31,08:45:37
37.556851,127.079511,2024/08/31,08:45:42
