x,y,d,t
37.562136,127.050598,2024/09/01,07:04:39
37.562083,127.0506,2024/09/01,07:04:44
37.562026,127.050589,2024/09/01,07:04:48
37.561989,127.050614,2024/09/01,07:04:53
37.561959,127.050653,2024/09/01,07:04:58
37.562034,127.050654,2024/09/01,07:05:03
37.562128,127.050658,2024/09/01,07:05:07
37.561923,127.050857,2024/09/01,07:05:12
37.561794,127.051112,2024/09/01,07:05:17
37.561707,127.051233,2024/09/01,07:05:22
37.561692,127.051373,2024/09/01,07:05:27
37.561592,127.051478,2024/09/01,07:05:32
37.56148,127.051568,2024/09/01,07:05:37
37.561368,127.051622,2024/09/01,07:05:42
37.561236,127.051649,2024/09/01,07:05:47
37.560988,127.051465,2024/09/01,07:05:52
37.560841,127.051418,2024/09/01,07:05:57
37.560681,127.051485,2024/09/01,07:06:01
37.560554,127.051518,2024/09/01,07:06:06
37.560395,127.051528,2024/09/01,07:06:10
37.560268,127.05151,2024/09/01,07:06:15
37.560164,127.051534,2024/09/01,07:06:20
37.560038,127.051585,2024/09/01,07:06:24
37.559937,127.051577,2024/09/01,07:06:29
37.559794,127.051642,2024/09/01,07:06:34
37.559696,127.05169,2024/09/01,07:06:39
37.559569,127.051844,2024/09/01,07:06:44
37.559486,127.05189,2024/09/01,07:06:48
37.559397,127.051996,2024/09/01,07:06:53
37.559297,127.052062,2024/09/01,07:06:58
37.559226,127.052181,2024/09/01,07:07:03
37.559132,127.052266,2024/09/01,07:07:08
37.558946,127.052233,2024/09/01,07:07:12
37.558835,127.052284,2024/09/01,07:07:17
37.55871,127.052351,2024/09/01,07:07:22
37.558575,127.052374,2024/09/01,07:07:27
37.558476,127.052419,2024/09/01,07:07:31
37.558433,127.051681,2024/09/01,07:07:36
37.558364,127.05154,2024/09/01,07:07:41
37.558251,127.051749,2024/09/01,07:07:46
37.55814,127.051956,2024/09/01,07:07:51
37.558034,127.052091,2024/09/01,07:07:56
37.557928,127.052199,2024/09/01,07:08:00
37.557805,127.052338,2024/09/01,07:08:05
37.55771,127.052301,2024/09/01,07:08:10
37.557579,127.052234,2024/09/01,07:08:14
37.557492,127.052213,2024/09/01,07:08:19
37.557405,127.052191,2024/09/01,07:08:24
37.557308,127.052166,2024/09/01,07:08:29
37.557216,127.05207,2024/09/01,07:08:34
37.556724,127.052411,2024/09/01,07:08:39
37.556473,127.052614,2024/09/01,07:08:44
37.556225,127.052724,2024/09/01,07:08:48
37.556113,127.052616,2024/09/01,07:08:54
37.556113,127.052492,2024/09/01,07:08:58
37.556111,127.052361,2024/09/01,07:09:03
37.556159,127.052208,2024/09/01,07:09:08
37.556098,127.052085,2024/09/01,07:09:12
37.556105,127.051934,2024/09/01,07:09:17
37.556098,127.051805,2024/09/01,07:09:22
37.556116,127.051672,2024/09/01,07:09:27
37.556102,127.051555,2024/09/01,07:09:31
37.556204,127.051563,2024/09/01,07:09:36
37.556324,127.051588,2024/09/01,07:09:42
